Vertices,Edges,Chromatic Number,Exec Time,Basic Operations,Configurations Tested
52,146,6,18.7201,,
61,270,10,30.7806,,
150,1693,18,182.8883,,
168,1656,17,165.5416,,
224,3192,23,282.8217,,
333,2519,18,283.3889,,
534,4813,19,524.5228,,
747,30025,80,2319.8755,,
786,14024,32,1275.5804,,
1034,26749,50,3430.3012,,
