Vertices,Edges,Chromatic Number,Exec Time,Basic Operations,Configurations Tested
52,146,6,14.5297,25543,16224
61,270,10,26.4008,61239,22326
150,1693,18,162.1408,393026,75000
168,1656,17,148.1142,316938,84000
224,3192,22,268.8901,589992,112000
333,2519,18,246.6357,515978,166500
534,4813,19,468.9252,1011370,267000
747,30025,79,2317.4736,5524302,373500
786,14024,32,1274.2305,2503442,393000
1034,26749,49,2408.3786,4405938,517000
