Vertices,Edge %,Chromatic Number,Exec Time,Basic Operations,Configurations Tested,Precision
59,1283 (75%),20,56.7384,193947,20886,
60,221 (12.5%),5,18.9502,36049,21600,
60,442 (25%),8,27.2803,63637,21600,
60,885 (50%),13,42.0718,119129,21600,
60,1327 (75%),20,58.9359,199372,21600,
61,228 (12.5%),5,21.1213,37077,22326,
61,457 (25%),8,28.7304,64869,22326,
61,915 (50%),13,45.0592,126035,22326,
61,1372 (75%),21,62.6714,211642,22326,
62,236 (12.5%),5,20.5722,39662,23064,
62,472 (25%),8,28.8188,68555,23064,
62,945 (50%),13,46.5453,130991,23064,
62,1418 (75%),20,64.2040,217411,23064,
63,244 (12.5%),5,21.3315,40417,23814,
63,488 (25%),8,31.0638,70590,23814,
63,976 (50%),13,48.2261,137378,23814,
63,1464 (75%),21,67.3256,225774,23814,
64,252 (12.5%),5,21.7645,42002,24576,
64,504 (25%),8,32.7020,74661,24576,
64,1008 (50%),13,51.9009,143909,24576,
64,1512 (75%),20,70.6923,235103,24576,
65,260 (12.5%),5,23.3705,44869,25350,
65,520 (25%),8,32.5027,78530,25350,
65,1040 (50%),14,53.4227,147073,25350,
65,1560 (75%),21,75.3453,250161,25350,
66,268 (12.5%),5,29.9280,45147,26136,
66,536 (25%),8,43.6223,82196,26136,
66,1072 (50%),14,62.6900,155926,26136,
66,1608 (75%),21,132.8702,264623,26136,
67,276 (12.5%),5,27.9818,47563,26934,
67,552 (25%),8,49.1693,85209,26934,
67,1105 (50%),14,60.6232,165471,26934,
67,1658 (75%),21,81.8367,268316,26934,
68,284 (12.5%),5,26.8939,49663,27744,
68,569 (25%),8,37.1466,87653,27744,
68,1139 (50%),14,60.8978,172836,27744,
68,1708 (75%),22,84.7936,277565,27744,
69,293 (12.5%),5,26.7668,52758,28566,
69,586 (25%),8,38.2009,92188,28566,
69,1173 (50%),14,62.2938,177541,28566,
69,1759 (75%),23,88.7346,299183,28566,
70,301 (12.5%),6,28.4593,54636,29400,
70,603 (25%),8,42.0623,96509,29400,
70,1207 (50%),15,80.8799,185539,29400,
70,1811 (75%),22,101.1732,300906,29400,
71,310 (12.5%),6,28.8079,56604,30246,
71,621 (25%),9,44.9412,99787,30246,
71,1242 (50%),14,80.9834,191576,30246,
71,1863 (75%),22,112.1600,318711,30246,
72,319 (12.5%),5,33.7055,58015,31104,
72,639 (25%),9,53.1609,106554,31104,
72,1278 (50%),15,80.8673,197687,31104,
72,1917 (75%),23,116.6840,328561,31104,
73,328 (12.5%),6,36.1311,61573,31974,
73,657 (25%),9,50.5850,106341,31974,
73,1314 (50%),15,85.6667,208370,31974,
73,1971 (75%),23,136.6973,350429,31974,
74,337 (12.5%),6,39.9652,64156,32856,
74,675 (25%),9,59.6309,112500,32856,
74,1350 (50%),15,93.6968,213475,32856,
74,2025 (75%),22,119.5745,359055,32856,
75,346 (12.5%),6,32.9905,66560,33750,
75,693 (25%),9,50.8051,115032,33750,
75,1387 (50%),15,88.2289,227001,33750,
75,2081 (75%),24,125.9289,372679,33750,
76,356 (12.5%),6,36.5789,68047,34656,
76,712 (25%),9,60.3848,120281,34656,
76,1425 (50%),15,85.8836,234533,34656,
76,2137 (75%),24,118.5083,388678,34656,
77,365 (12.5%),6,45.7664,71866,35574,
77,731 (25%),9,66.2186,127276,35574,
77,1463 (50%),15,108.5310,239155,35574,
77,2194 (75%),24,127.2645,405208,35574,
78,375 (12.5%),6,37.8776,73214,36504,
78,750 (25%),9,57.2343,132172,36504,
78,1501 (50%),16,95.8049,247321,36504,
78,2252 (75%),24,150.4560,414976,36504,
79,385 (12.5%),6,39.3698,75695,37446,
79,770 (25%),9,59.5846,136871,37446,
79,1540 (50%),16,97.4028,260917,37446,
79,2310 (75%),24,134.6290,430012,37446,
80,395 (12.5%),6,39.8636,80490,38400,
80,790 (25%),9,59.1166,140487,38400,
80,1580 (50%),16,98.2826,270117,38400,
80,2370 (75%),25,135.5660,439219,38400,
81,405 (12.5%),6,40.0901,81793,39366,
81,810 (25%),9,58.7835,144282,39366,
81,1620 (50%),16,97.5225,276960,39366,
81,2430 (75%),25,139.7352,468344,39366,
82,415 (12.5%),6,41.0576,84820,40344,
82,830 (25%),9,61.7363,151086,40344,
82,1660 (50%),16,101.1121,288461,40344,
82,2490 (75%),26,149.6410,479921,40344,
83,425 (12.5%),6,43.1774,87688,41334,
83,850 (25%),10,63.8723,152675,41334,
83,1701 (50%),16,106.0843,296425,41334,
83,2552 (75%),26,148.5178,501339,41334,
84,435 (12.5%),6,42.8190,90542,42000,
84,871 (25%),9,64.3513,159390,42000,
84,1743 (50%),17,106.3046,305652,42000,
84,2614 (75%),26,151.4461,506450,42000,
85,446 (12.5%),6,43.4101,90890,42500,
85,892 (25%),10,66.4015,162304,42500,
85,1785 (50%),17,109.8404,310604,42500,
85,2677 (75%),26,155.8156,515771,42500,
86,456 (12.5%),6,46.0136,93415,43000,
86,913 (25%),10,83.3337,165871,43000,
86,1827 (50%),16,133.5986,318070,43000,
86,2741 (75%),26,177.7768,523078,43000,
87,467 (12.5%),6,48.1992,93791,43500,
87,935 (25%),10,73.5028,167504,43500,
87,1870 (50%),17,122.4515,322662,43500,
87,2805 (75%),27,169.0948,544455,43500,
88,478 (12.5%),6,52.4929,99731,44000,
88,957 (25%),10,78.7048,169830,44000,
88,1914 (50%),17,127.4052,333955,44000,
88,2871 (75%),27,176.3835,555033,44000,
89,489 (12.5%),6,48.6839,100207,44500,
89,979 (25%),10,73.3128,175956,44500,
89,1958 (50%),17,128.6597,337751,44500,
89,2937 (75%),27,174.1343,562994,44500,
90,500 (12.5%),6,48.9266,100939,45000,
90,1001 (25%),10,83.0739,181113,45000,
90,2002 (50%),17,129.2732,345969,45000,
90,3003 (75%),28,182.1511,580519,45000,
91,511 (12.5%),6,50.5655,102767,45500,
91,1023 (25%),10,76.5069,181300,45500,
91,2047 (50%),17,135.4153,354211,45500,
91,3071 (75%),28,183.8708,592848,45500,
92,523 (12.5%),7,50.3323,104308,46000,
92,1046 (25%),10,86.0393,188060,46000,
92,2093 (50%),18,133.2929,352724,46000,
92,3139 (75%),28,190.7182,601222,46000,
93,534 (12.5%),7,53.2811,108556,46500,
93,1069 (25%),10,78.3329,190371,46500,
93,2139 (50%),18,130.0564,369966,46500,
93,3208 (75%),28,187.1598,613056,46500,
94,546 (12.5%),6,54.6665,108856,47000,
94,1092 (25%),10,94.3575,194407,47000,
94,2185 (50%),18,151.1734,376296,47000,
94,3278 (75%),28,226.9263,633178,47000,
95,558 (12.5%),7,59.1059,109914,47500,
95,1116 (25%),10,97.6155,195454,47500,
95,2232 (50%),18,155.5574,382612,47500,
95,3348 (75%),29,202.5437,639352,47500,
96,570 (12.5%),6,54.5506,112288,48000,
96,1140 (25%),10,83.6296,200345,48000,
96,2280 (50%),18,138.3879,388830,48000,
96,3420 (75%),29,218.9002,647098,48000,
97,582 (12.5%),7,58.2583,116138,48500,
97,1164 (25%),11,87.5013,204983,48500,
97,2328 (50%),18,158.5002,395888,48500,
97,3492 (75%),30,221.0009,666292,48500,
98,594 (12.5%),7,60.4026,118704,49000,
98,1188 (25%),11,87.5356,206054,49000,
98,2376 (50%),19,145.7465,408549,49000,
98,3564 (75%),30,226.3310,680086,49000,
99,606 (12.5%),7,59.4907,117327,49500,
99,1212 (25%),11,87.6369,213622,49500,
99,2425 (50%),19,148.7124,409002,49500,
99,3638 (75%),29,212.8487,683814,49500,
100,618 (12.5%),7,57.7161,120456,50000,
100,1237 (25%),11,89.9179,215198,50000,
100,2475 (50%),19,150.4917,416284,50000,
100,3712 (75%),30,217.5562,706519,50000,
101,631 (12.5%),7,58.6326,124446,50500,
101,1262 (25%),10,90.9126,218993,50500,
101,2525 (50%),19,152.0452,426496,50500,
101,3787 (75%),30,218.7238,712861,50500,
102,643 (12.5%),7,59.3238,126611,51000,
102,1287 (25%),11,91.7871,223007,51000,
102,2575 (50%),19,153.8270,430912,51000,
102,3863 (75%),29,223.7113,721488,51000,
103,656 (12.5%),7,59.8767,127961,51500,
103,1313 (25%),11,93.0283,228398,51500,
103,2626 (50%),19,156.4507,440265,51500,
103,3939 (75%),31,225.8172,736761,51500,
104,669 (12.5%),7,61.4560,130440,52000,
104,1339 (25%),11,95.7122,229895,52000,
104,2678 (50%),20,160.2170,452112,52000,
104,4017 (75%),30,229.2683,753174,52000,
105,682 (12.5%),7,61.3968,131933,52500,
105,1365 (25%),11,95.2754,234498,52500,
105,2730 (50%),20,161.3328,455265,52500,
105,4095 (75%),30,231.2405,759166,52500,
106,695 (12.5%),7,64.6994,136136,53000,
106,1391 (25%),11,102.7288,235632,53000,
106,2782 (50%),20,174.2342,460883,53000,
106,4173 (75%),30,247.1471,767066,53000,
107,708 (12.5%),7,65.0272,137534,53500,
107,1417 (25%),11,99.4618,243420,53500,
107,2835 (50%),20,172.5512,471323,53500,
107,4253 (75%),31,251.4825,790991,53500,
108,722 (12.5%),7,67.6513,138763,54000,
108,1444 (25%),11,104.8124,248218,54000,
108,2889 (50%),20,184.2055,483406,54000,
108,4333 (75%),31,252.0082,800743,54000,
109,735 (12.5%),8,67.3523,142163,54500,
109,1471 (25%),12,112.8132,252354,54500,
109,2943 (50%),20,193.6913,486928,54500,
109,4414 (75%),33,260.8891,825591,54500,
110,749 (12.5%),7,66.8879,143793,55000,
110,1498 (25%),11,104.3952,254671,55000,
110,2997 (50%),20,190.4960,494873,55000,
110,4496 (75%),33,274.6980,841668,55000,
111,763 (12.5%),8,76.9615,146244,55500,
111,1526 (25%),11,118.5963,258704,55500,
111,3052 (50%),20,204.0842,506068,55500,
111,4578 (75%),32,273.6466,838370,55500,
112,777 (12.5%),7,74.5153,149203,56000,
112,1554 (25%),11,112.6683,264246,56000,
112,3108 (50%),21,189.8866,513392,56000,
112,4662 (75%),33,281.5711,861505,56000,
113,791 (12.5%),8,71.5601,150171,56500,
113,1582 (25%),12,114.1317,269443,56500,
113,3164 (50%),21,208.4885,518163,56500,
113,4746 (75%),33,305.2979,880931,56500,
114,805 (12.5%),8,75.6664,153175,57000,
114,1610 (25%),12,116.2074,272921,57000,
114,3220 (50%),21,200.4654,528075,57000,
114,4830 (75%),33,281.6777,885812,57000,
115,819 (12.5%),7,75.7952,157044,57500,
115,1638 (25%),12,119.0293,277039,57500,
115,3277 (50%),21,206.7571,539544,57500,
115,4916 (75%),34,288.0061,905732,57500,
116,833 (12.5%),8,74.0714,159052,58000,
116,1667 (25%),12,116.2093,279772,58000,
116,3335 (50%),21,201.5567,549821,58000,
116,5002 (75%),34,328.0435,924360,58000,
117,848 (12.5%),8,79.2065,159033,58500,
117,1696 (25%),12,118.1819,284870,58500,
117,3393 (50%),21,211.2157,560965,58500,
117,5089 (75%),35,292.0556,929483,58500,
118,862 (12.5%),7,78.6686,162284,59000,
118,1725 (25%),12,120.8577,287834,59000,
118,3451 (50%),22,209.4719,558880,59000,
118,5177 (75%),35,324.4543,950749,59000,
119,877 (12.5%),8,78.9773,167239,59500,
119,1755 (25%),12,127.2314,295992,59500,
119,3510 (50%),22,216.2454,571173,59500,
119,5265 (75%),35,302.3486,958098,59500,
120,892 (12.5%),8,79.1318,167553,60000,
120,1785 (25%),12,130.2669,296785,60000,
120,3570 (50%),22,215.0981,581370,60000,
120,5355 (75%),33,314.4267,978616,60000,
121,907 (12.5%),8,80.2579,171986,60500,
121,1815 (25%),12,131.0904,301771,60500,
121,3630 (50%),21,222.7111,588165,60500,
121,5445 (75%),35,315.3322,983819,60500,
122,922 (12.5%),8,80.9467,171757,61000,
122,1845 (25%),12,126.8878,307683,61000,
122,3690 (50%),22,223.5210,595547,61000,
122,5535 (75%),34,324.3361,1007948,61000,
123,937 (12.5%),8,82.9918,174575,61500,
123,1875 (25%),12,129.0910,311699,61500,
123,3751 (50%),22,220.0415,610022,61500,
123,5627 (75%),36,345.3519,1029657,61500,
124,953 (12.5%),8,97.7294,178032,62000,
124,1906 (25%),13,142.4265,316653,62000,
124,3813 (50%),23,232.1460,616399,62000,
124,5719 (75%),36,357.0292,1039660,62000,
125,968 (12.5%),8,90.1070,181509,62500,
125,1937 (25%),13,147.1326,323728,62500,
125,3875 (50%),22,238.8399,627010,62500,
125,5812 (75%),36,329.1910,1052761,62500,
126,984 (12.5%),8,84.2249,182792,63000,
126,1968 (25%),13,133.5964,324414,63000,
126,3937 (50%),23,228.2326,630653,63000,
126,5906 (75%),36,359.2868,1075958,63000,
127,1000 (12.5%),8,89.1287,186167,63500,
127,2000 (25%),13,137.5842,332019,63500,
127,4000 (50%),23,241.8714,644865,63500,
127,6000 (75%),37,370.0573,1085595,63500,
128,1016 (12.5%),8,91.0676,189843,64000,
128,2032 (25%),13,139.7948,333708,64000,
128,4064 (50%),22,243.0336,651323,64000,
128,6096 (75%),37,342.7339,1103206,64000,
129,1032 (12.5%),8,87.6095,189469,64500,
129,2064 (25%),13,142.5755,341202,64500,
129,4128 (50%),24,247.0479,662987,64500,
129,6192 (75%),37,375.9971,1103286,64500,
130,1048 (12.5%),8,89.8440,193846,65000,
130,2096 (25%),13,145.1163,342965,65000,
130,4192 (50%),23,272.4905,667673,65000,
130,6288 (75%),38,388.2704,1128357,65000,
131,1064 (12.5%),8,97.4631,196212,65500,
131,2128 (25%),13,147.8503,349321,65500,
131,4257 (50%),23,252.2929,680694,65500,
131,6386 (75%),38,405.9536,1146541,65500,
132,1080 (12.5%),8,91.5775,196813,66000,
132,2161 (25%),13,148.9463,353845,66000,
132,4323 (50%),24,262.6679,689337,66000,
132,6484 (75%),38,364.5947,1170162,66000,
133,1097 (12.5%),9,95.8586,201423,66500,
133,2194 (25%),13,146.6508,357526,66500,
133,4389 (50%),24,255.5676,697933,66500,
133,6583 (75%),39,370.6746,1183979,66500,
134,1113 (12.5%),8,93.4529,204636,67000,
134,2227 (25%),13,153.2800,364800,67000,
134,4455 (50%),24,260.0799,708951,67000,
134,6683 (75%),38,374.3558,1187127,67000,
135,1130 (12.5%),8,93.8768,206359,67500,
135,2261 (25%),14,153.3809,370230,67500,
135,4522 (50%),25,278.2261,722821,67500,
135,6783 (75%),39,381.7334,1223612,67500,
136,1147 (12.5%),9,94.9457,208783,68000,
136,2295 (25%),13,153.8794,373098,68000,
136,4590 (50%),24,268.1649,723181,68000,
136,6885 (75%),39,382.7250,1235382,68000,
137,1164 (12.5%),8,95.8896,210385,68500,
137,2329 (25%),13,154.2342,377785,68500,
137,4658 (50%),24,268.8086,735654,68500,
137,6987 (75%),38,387.5017,1240587,68500,
138,1181 (12.5%),8,97.7857,213977,69000,
138,2363 (25%),14,156.2557,383814,69000,
138,4726 (50%),25,282.8982,745805,69000,
138,7089 (75%),39,399.6024,1269976,69000,
139,1198 (12.5%),9,98.6354,217457,69500,
139,2397 (25%),13,159.5840,388666,69500,
139,4795 (50%),25,275.8827,754411,69500,
139,7193 (75%),39,398.0460,1285419,69500,
140,1216 (12.5%),9,99.0639,219495,70000,
140,2432 (25%),13,159.4925,391416,70000,
140,4865 (50%),24,283.0777,764522,70000,
140,7297 (75%),39,405.0262,1297354,70000,
141,1233 (12.5%),9,100.8992,223527,70500,
141,2467 (25%),14,163.3279,399481,70500,
141,4935 (50%),25,314.7109,778896,70500,
141,7402 (75%),41,442.6880,1323853,70500,
142,1251 (12.5%),9,102.9696,227447,71000,
142,2502 (25%),14,167.9440,402873,71000,
142,5005 (50%),25,291.9362,790325,71000,
142,7508 (75%),40,427.8674,1319395,71000,
143,1269 (12.5%),9,108.1202,229732,71500,
143,2538 (25%),14,173.6672,407660,71500,
143,5076 (50%),25,293.3629,796324,71500,
143,7614 (75%),41,442.4059,1353427,71500,
144,1287 (12.5%),9,112.9961,230254,72000,
144,2574 (25%),14,174.5226,414025,72000,
144,5148 (50%),25,300.1988,800494,72000,
144,7722 (75%),40,436.4231,1358414,72000,
145,1305 (12.5%),9,115.6242,232586,72500,
145,2610 (25%),14,194.9377,415616,72500,
145,5220 (50%),25,335.1910,818453,72500,
145,7830 (75%),41,464.9110,1383863,72500,
146,1323 (12.5%),9,117.0971,238252,73000,
146,2646 (25%),14,199.0335,421085,73000,
146,5292 (50%),25,334.6329,819886,73000,
146,7938 (75%),42,448.1173,1409531,73000,
147,1341 (12.5%),9,116.9007,242098,73500,
147,2682 (25%),14,188.2658,430561,73500,
147,5365 (50%),25,328.9731,837806,73500,
147,8048 (75%),41,455.7314,1414084,73500,
148,1359 (12.5%),9,110.2800,241699,74000,
148,2719 (25%),14,177.9792,431111,74000,
148,5439 (50%),26,315.1643,849171,74000,
148,8158 (75%),42,450.6416,1436022,74000,
149,1378 (12.5%),9,110.2574,248421,74500,
149,2756 (25%),14,178.0257,438606,74500,
149,5513 (50%),26,312.7184,848025,74500,
149,8269 (75%),42,453.2750,1449106,74500,
150,1396 (12.5%),9,126.0900,248710,75000,
150,2793 (25%),14,211.7972,445319,75000,
150,5587 (50%),26,328.9111,868453,75000,
150,8381 (75%),42,456.8591,1469807,75000,
151,1415 (12.5%),9,111.9242,251540,75500,
151,2831 (25%),14,180.8963,450400,75500,
151,5662 (50%),26,319.5219,882235,75500,
151,8493 (75%),42,462.7087,1477543,75500,
152,1434 (12.5%),9,114.1808,254922,76000,
152,2869 (25%),15,182.8654,455253,76000,
152,5738 (50%),26,367.7435,885238,76000,
152,8607 (75%),43,493.3336,1512588,76000,
153,1453 (12.5%),9,121.0837,260301,76500,
153,2907 (25%),14,198.3130,461132,76500,
153,5814 (50%),26,329.4444,900667,76500,
153,8721 (75%),43,497.3729,1528377,76500,
154,1472 (12.5%),9,116.6408,262170,77000,
154,2945 (25%),15,188.9338,465209,77000,
154,5890 (50%),27,332.9356,919536,77000,
154,8835 (75%),43,482.3108,1530624,77000,
155,1491 (12.5%),9,116.6728,264660,77500,
155,2983 (25%),15,189.3723,470656,77500,
155,5967 (50%),27,350.5738,922482,77500,
155,8951 (75%),43,525.3260,1566722,77500,
156,1511 (12.5%),9,119.6637,265277,78000,
156,3022 (25%),15,194.5322,476374,78000,
156,6045 (50%),27,383.3940,930425,78000,
156,9067 (75%),44,510.4933,1580711,78000,
157,1530 (12.5%),9,126.6353,270991,78500,
157,3061 (25%),15,200.1526,483439,78500,
157,6123 (50%),27,350.5599,949855,78500,
157,9184 (75%),44,522.0032,1605753,78500,
158,1550 (12.5%),10,121.6490,272644,79000,
158,3100 (25%),15,199.6331,489341,79000,
158,6201 (50%),26,368.5701,949088,79000,
158,9302 (75%),45,540.7207,1616270,79000,
159,1570 (12.5%),10,124.5978,277389,79500,
159,3140 (25%),15,204.3066,492971,79500,
159,6280 (50%),28,365.3827,963408,79500,
159,9420 (75%),44,521.6284,1618979,79500,
160,1590 (12.5%),9,124.9638,278968,80000,
160,3180 (25%),15,203.4423,500887,80000,
160,6360 (50%),27,358.4886,972148,80000,
160,9540 (75%),45,527.9086,1657884,80000,
161,1610 (12.5%),9,124.8980,283188,80500,
161,3220 (25%),15,203.7404,503797,80500,
161,6440 (50%),28,376.3185,989530,80500,
161,9660 (75%),44,535.0924,1666266,80500,
162,1630 (12.5%),10,126.5001,285045,81000,
162,3260 (25%),15,204.5841,509256,81000,
162,6520 (50%),28,364.4187,998123,81000,
162,9780 (75%),45,537.3611,1683422,81000,
163,1650 (12.5%),10,128.3863,288771,81500,
163,3300 (25%),15,207.6769,515052,81500,
163,6601 (50%),27,375.9234,1003485,81500,
163,9902 (75%),43,564.0926,1718968,81500,
164,1670 (12.5%),10,130.6961,291424,82000,
164,3341 (25%),16,213.0525,522838,82000,
164,6683 (50%),28,404.9573,1018136,82000,
164,10024 (75%),46,612.0675,1726758,82000,
165,1691 (12.5%),10,144.1469,291272,82500,
165,3382 (25%),15,220.2387,524606,82500,
165,6765 (50%),29,380.0969,1032073,82500,
165,10147 (75%),46,561.5115,1761194,82500,
166,1711 (12.5%),10,146.2679,298552,83000,
166,3423 (25%),16,236.9657,532205,83000,
166,6847 (50%),28,385.2618,1047631,83000,
166,10271 (75%),46,555.0706,1766585,83000,
167,1732 (12.5%),10,150.1706,301235,83500,
167,3465 (25%),16,239.6433,539104,83500,
167,6930 (50%),28,391.4065,1051634,83500,
167,10395 (75%),46,581.8102,1793911,83500,
168,1753 (12.5%),10,147.9790,304173,84000,
168,3507 (25%),16,230.1497,539291,84000,
168,7014 (50%),28,391.6295,1059459,84000,
168,10521 (75%),47,568.4900,1819602,84000,
169,1774 (12.5%),10,156.6446,306265,84500,
169,3549 (25%),16,256.5424,547841,84500,
169,7098 (50%),29,407.5043,1081042,84500,
169,10647 (75%),46,591.1124,1839643,84500,
170,1795 (12.5%),10,140.7509,313020,85000,
170,3591 (25%),16,232.6093,557328,85000,
170,7182 (50%),29,410.2440,1086000,85000,
170,10773 (75%),47,590.2157,1849100,85000,
171,1816 (12.5%),10,140.5125,315933,85500,
171,3633 (25%),16,227.5984,560524,85500,
171,7267 (50%),29,410.5165,1100805,85500,
171,10901 (75%),47,601.7172,1868014,85500,
172,1838 (12.5%),10,142.8730,318038,86000,
172,3676 (25%),16,229.7885,570441,86000,
172,7353 (50%),28,416.0516,1115118,86000,
172,11029 (75%),48,598.6917,1899611,86000,
173,1859 (12.5%),10,142.1504,320872,86500,
173,3719 (25%),16,231.2171,571505,86500,
173,7439 (50%),28,423.2306,1124641,86500,
173,11158 (75%),47,637.1498,1893801,86500,
174,1881 (12.5%),10,143.6613,323803,87000,
174,3762 (25%),17,233.2623,578248,87000,
174,7525 (50%),29,415.5774,1135696,87000,
174,11288 (75%),47,601.0523,1928136,87000,
175,1903 (12.5%),10,142.1976,326288,87500,
175,3806 (25%),16,234.9083,585093,87500,
175,7612 (50%),30,418.4549,1147122,87500,
175,11418 (75%),47,609.4158,1940291,87500,
176,1925 (12.5%),10,144.9211,329250,88000,
176,3850 (25%),16,237.5593,590793,88000,
176,7700 (50%),29,452.1084,1157261,88000,
176,11550 (75%),49,667.8612,1977652,88000,
177,1947 (12.5%),10,150.4939,333306,88500,
177,3894 (25%),17,242.3828,598635,88500,
177,7788 (50%),29,428.2875,1171440,88500,
177,11682 (75%),48,623.9264,1987024,88500,
178,1969 (12.5%),10,152.4487,336002,89000,
178,3938 (25%),16,245.7995,601725,89000,
178,7876 (50%),30,441.0949,1178527,89000,
178,11814 (75%),49,642.3504,2001634,89000,
179,1991 (12.5%),10,157.6364,341988,89500,
179,3982 (25%),16,252.9235,611033,89500,
179,7965 (50%),30,441.3607,1197686,89500,
179,11948 (75%),49,645.1020,2040799,89500,
180,2013 (12.5%),10,150.9807,343996,90000,
180,4027 (25%),17,246.1102,618164,90000,
180,8055 (50%),30,518.8992,1206816,90000,
180,12082 (75%),49,676.7762,2052380,90000,
181,2036 (12.5%),10,152.7367,346726,90500,
181,4072 (25%),17,254.1945,622693,90500,
181,8145 (50%),29,524.5211,1218593,90500,
181,12217 (75%),49,656.4615,2062462,90500,
182,2058 (12.5%),11,159.5724,351425,91000,
182,4117 (25%),17,260.5474,628613,91000,
182,8235 (50%),30,467.4866,1227503,91000,
182,12353 (75%),50,668.0086,2101477,91000,
183,2081 (12.5%),11,159.4248,354994,91500,
183,4163 (25%),17,268.2168,636479,91500,
183,8326 (50%),31,460.7751,1243253,91500,
183,12489 (75%),50,686.1031,2119551,91500,
184,2104 (12.5%),11,156.1198,359611,92000,
184,4209 (25%),17,255.1231,640463,92000,
184,8418 (50%),31,479.0902,1252645,92000,
184,12627 (75%),50,695.4167,2136591,92000,
185,2127 (12.5%),10,160.3868,360936,92500,
185,4255 (25%),17,258.4913,647119,92500,
185,8510 (50%),31,514.3468,1270312,92500,
185,12765 (75%),50,721.7543,2148830,92500,
186,2150 (12.5%),11,162.3669,365491,93000,
186,4301 (25%),17,285.9991,653238,93000,
186,8602 (50%),31,507.9410,1279805,93000,
186,12903 (75%),50,743.4475,2170150,93000,
187,2173 (12.5%),11,159.9622,368738,93500,
187,4347 (25%),17,264.4122,659321,93500,
187,8695 (50%),31,486.6517,1296895,93500,
187,13043 (75%),50,807.7335,2210357,93500,
188,2197 (12.5%),11,163.5401,372432,94000,
188,4394 (25%),17,270.8161,667064,94000,
188,8789 (50%),32,479.7087,1302447,94000,
188,13183 (75%),50,755.7406,2216581,94000,
189,2220 (12.5%),10,164.0329,373839,94500,
189,4441 (25%),17,268.5401,669382,94500,
189,8883 (50%),31,524.2040,1315545,94500,
189,13324 (75%),51,732.9850,2255256,94500,
190,2244 (12.5%),11,164.7210,377892,95000,
190,4488 (25%),17,268.7616,675777,95000,
190,8977 (50%),31,488.8549,1330491,95000,
190,13466 (75%),51,710.9928,2272773,95000,
191,2268 (12.5%),11,165.6251,380763,95500,
191,4536 (25%),18,272.3877,685737,95500,
191,9072 (50%),31,545.7826,1347691,95500,
191,13608 (75%),52,745.2884,2278353,95500,
192,2292 (12.5%),11,169.6954,385391,96000,
192,4584 (25%),18,289.5687,692105,96000,
192,9168 (50%),32,511.6351,1362888,96000,
192,13752 (75%),51,741.4804,2308408,96000,
193,2316 (12.5%),11,167.5498,386779,96500,
193,4632 (25%),17,288.5327,694687,96500,
193,9264 (50%),31,511.5576,1371306,96500,
193,13896 (75%),52,767.4229,2332274,96500,
194,2340 (12.5%),11,178.9782,390685,97000,
194,4680 (25%),17,287.3399,701778,97000,
194,9360 (50%),32,513.8609,1382385,97000,
194,14040 (75%),52,746.0670,2355792,97000,
195,2364 (12.5%),11,172.4410,395004,97500,
195,4728 (25%),18,283.8819,710337,97500,
195,9457 (50%),32,513.1850,1396207,97500,
195,14186 (75%),52,748.4827,2383841,97500,
196,2388 (12.5%),11,173.5570,402506,98000,
196,4777 (25%),18,294.8215,721263,98000,
196,9555 (50%),33,521.9095,1409798,98000,
196,14332 (75%),52,750.1349,2400141,98000,
197,2413 (12.5%),11,172.8342,401704,98500,
197,4826 (25%),18,311.8410,721373,98500,
197,9653 (50%),33,548.1262,1423871,98500,
197,14479 (75%),52,759.5220,2425508,98500,
198,2437 (12.5%),11,176.2652,407656,99000,
198,4875 (25%),18,291.1074,729805,99000,
198,9751 (50%),32,524.5020,1434150,99000,
198,14627 (75%),53,770.0770,2442339,99000,
199,2462 (12.5%),11,174.8099,409845,99500,
199,4925 (25%),18,296.1407,737808,99500,
199,9850 (50%),33,530.3164,1450489,99500,
199,14775 (75%),53,772.0859,2473004,99500,
200,2487 (12.5%),11,179.0671,414768,100000,
200,4975 (25%),18,297.1179,741489,100000,
200,9950 (50%),33,535.2774,1466523,100000,
200,14925 (75%),54,777.2357,2494200,100000,
201,2512 (12.5%),11,181.1123,417702,100500,
201,5025 (25%),18,301.6691,749433,100500,
201,10050 (50%),33,539.1831,1472284,100500,
201,15075 (75%),54,793.9599,2519886,100500,
202,2537 (12.5%),11,180.3303,417465,101000,
202,5075 (25%),18,305.4192,756780,101000,
202,10150 (50%),33,541.0373,1485074,101000,
202,15225 (75%),54,796.9034,2537193,101000,
203,2562 (12.5%),11,182.7762,425412,101500,
203,5125 (25%),18,305.0826,762727,101500,
203,10251 (50%),34,553.1149,1505629,101500,
203,15377 (75%),54,801.6655,2558913,101500,
204,2588 (12.5%),11,184.7384,430492,102000,
204,5176 (25%),19,305.1739,772307,102000,
204,10353 (50%),33,555.4504,1519690,102000,
204,15529 (75%),55,887.6355,2587778,102000,
205,2613 (12.5%),11,185.0712,429883,102500,
205,5227 (25%),18,307.6587,773949,102500,
205,10455 (50%),33,660.7955,1526833,102500,
205,15682 (75%),55,833.0724,2600363,102500,
206,2639 (12.5%),12,186.0871,433404,103000,
206,5278 (25%),19,318.2776,781188,103000,
206,10557 (50%),34,557.4906,1550830,103000,
206,15836 (75%),54,883.6765,2627452,103000,
207,2665 (12.5%),11,194.7320,438648,103500,
207,5330 (25%),19,349.1449,786006,103500,
207,10660 (50%),34,607.4982,1562180,103500,
