Vertices,Edge %,Chromatic Number,Exec Time,Basic Operations,Configurations Tested,Precision
455,25821 (25%),34,1566.4270,3247772,227500,
455,51642 (50%),63,2949.8866,6539529,227500,
455,77463 (75%),107,4449.2950,11326156,227500,
456,12967 (12.5%),20,871.7360,1793226,228000,
456,25935 (25%),34,1584.2357,3262608,228000,
456,51870 (50%),63,2964.2565,6567138,228000,
456,77805 (75%),107,4462.9333,11392139,228000,
457,13024 (12.5%),20,870.0206,1797587,228500,
457,26049 (25%),34,1611.4826,3274757,228500,
457,52098 (50%),64,2983.8233,6584890,228500,
457,78147 (75%),108,4481.2825,11427686,228500,
458,13081 (12.5%),20,873.0106,1799774,229000,
458,26163 (25%),34,1586.2415,3285481,229000,
458,52326 (50%),65,2993.7625,6630587,229000,
458,78489 (75%),108,4478.2200,11470388,229000,
459,13138 (12.5%),20,927.1443,1811934,229500,
459,26277 (25%),34,1611.6104,3301748,229500,
459,52555 (50%),64,3016.3362,6632696,229500,
459,78833 (75%),108,4523.3254,11512266,229500,
460,13196 (12.5%),20,885.8213,1813258,230000,
460,26392 (25%),34,1611.4938,3312054,230000,
460,52785 (50%),65,3025.8834,6675960,230000,
460,79177 (75%),106,4590.0590,11569509,230000,
461,13253 (12.5%),20,890.1849,1827640,230500,
461,26507 (25%),34,1616.8711,3333432,230500,
461,53015 (50%),65,3043.4592,6698478,230500,
461,79522 (75%),109,4553.0245,11638374,230500,
462,13311 (12.5%),20,904.3660,1827987,231000,
462,26622 (25%),34,1627.3925,3342603,231000,
462,53245 (50%),65,3056.3352,6716874,231000,
462,79868 (75%),108,4572.5558,11639332,231000,
463,13369 (12.5%),20,890.7144,1839416,231500,
463,26738 (25%),34,1632.0217,3353088,231500,
463,53476 (50%),64,3067.3139,6754469,231500,
463,80214 (75%),110,4599.7977,11712552,231500,
464,13427 (12.5%),20,896.8658,1846045,232000,
464,26854 (25%),34,1634.0442,3375625,232000,
464,53708 (50%),64,3070.1849,6777808,232000,
464,80562 (75%),109,4631.8467,11757837,232000,
465,13485 (12.5%),20,902.1029,1857120,232500,
465,26970 (25%),34,1646.8806,3388180,232500,
465,53940 (50%),65,3123.2834,6802656,232500,
465,80910 (75%),109,4881.4411,11788405,232500,
466,13543 (12.5%),20,1004.2753,1862443,233000,
466,27086 (25%),34,1673.7654,3397476,233000,
466,54172 (50%),65,3183.8739,6825708,233000,
466,81258 (75%),110,4829.8333,11825792,233000,
467,13601 (12.5%),20,960.9818,1866871,233500,
467,27202 (25%),34,1721.3254,3405504,233500,
467,54405 (50%),65,3170.5761,6848652,233500,
467,81608 (75%),111,4728.1253,11872928,233500,
468,13659 (12.5%),20,922.2708,1878065,234000,
468,27319 (25%),35,1675.9956,3429947,234000,
468,54639 (50%),66,3151.7243,6882620,234000,
468,81958 (75%),110,4723.7728,11921567,234000,
