Vertices,Edge %,Chromatic Number,Exec Time,Precision
206,2639 (12.5%),11,195.7603,
206,5278 (25%),18,313.0708,
206,10557 (50%),34,542.0663,
206,15836 (75%),55,781.8387,
207,2665 (12.5%),11,195.9643,
207,5330 (25%),19,313.2911,
207,10660 (50%),33,552.7461,
207,15990 (75%),54,793.0267,
208,2691 (12.5%),12,200.8603,
208,5382 (25%),19,309.7711,
208,10764 (50%),34,580.7071,
208,16146 (75%),56,804.6100,
209,2717 (12.5%),11,202.2684,
209,5434 (25%),19,318.9087,
209,10868 (50%),34,560.8227,
209,16302 (75%),56,797.0047,
210,2743 (12.5%),11,202.9700,
210,5486 (25%),19,329.1507,
210,10972 (50%),34,580.8697,
210,16458 (75%),56,827.3273,
211,2769 (12.5%),11,209.3408,
211,5538 (25%),19,337.0070,
211,11077 (50%),35,583.5512,
211,16616 (75%),56,828.2053,
212,2795 (12.5%),11,210.7956,
212,5591 (25%),19,335.6194,
212,11183 (50%),34,588.2764,
212,16774 (75%),55,844.3179,
213,2822 (12.5%),12,212.2896,
213,5644 (25%),19,340.8175,
213,11289 (50%),35,596.9830,
213,16933 (75%),56,848.9861,
214,2848 (12.5%),12,213.4733,
214,5697 (25%),19,336.9486,
214,11395 (50%),35,591.7199,
214,17093 (75%),57,844.3496,
215,2875 (12.5%),11,216.1713,
215,5751 (25%),19,340.7547,
215,11502 (50%),35,596.7817,
215,17253 (75%),57,863.0552,
216,2902 (12.5%),12,215.2116,
216,5805 (25%),19,343.2539,
216,11610 (50%),34,600.7767,
216,17415 (75%),58,864.1462,
217,2929 (12.5%),12,220.2387,
217,5859 (25%),19,351.7625,
217,11718 (50%),34,617.0278,
217,17577 (75%),57,894.2962,
218,2956 (12.5%),12,221.3373,
218,5913 (25%),19,354.1303,
218,11826 (50%),35,623.9898,
218,17739 (75%),57,889.8187,
219,2983 (12.5%),12,221.9336,
219,5967 (25%),19,356.5633,
219,11935 (50%),36,625.8900,
219,17903 (75%),58,905.0555,
220,3011 (12.5%),12,222.0454,
220,6022 (25%),19,353.3633,
220,12045 (50%),35,619.0577,
220,18067 (75%),57,883.9185,
221,3038 (12.5%),12,224.2548,
221,6077 (25%),20,354.1226,
221,12155 (50%),36,622.2248,
221,18232 (75%),58,889.0018,
222,3066 (12.5%),12,224.6618,
222,6132 (25%),19,357.7802,
222,12265 (50%),36,629.5455,
222,18398 (75%),59,896.1434,
223,3094 (12.5%),12,224.8721,
223,6188 (25%),20,359.2274,
223,12376 (50%),35,630.5110,
223,18564 (75%),59,903.4591,
224,3122 (12.5%),12,226.2163,
224,6244 (25%),20,370.4810,
224,12488 (50%),36,643.7631,
224,18732 (75%),60,924.7360,
225,3150 (12.5%),12,230.7620,
225,6300 (25%),20,373.4708,
225,12600 (50%),36,654.3484,
225,18900 (75%),59,904.4969,
226,3178 (12.5%),12,224.4678,
226,6356 (25%),19,358.4461,
226,12712 (50%),36,635.9110,
226,19068 (75%),60,913.3308,
227,3206 (12.5%),12,228.1575,
227,6412 (25%),20,361.0673,
227,12825 (50%),36,639.2379,
227,19238 (75%),60,919.7025,
228,3234 (12.5%),12,227.7057,
228,6469 (25%),19,399.2076,
228,12939 (50%),37,652.3855,
228,19408 (75%),60,925.7839,
229,3263 (12.5%),12,231.2312,
229,6526 (25%),20,370.7256,
229,13053 (50%),37,651.3491,
229,19579 (75%),61,934.9217,
230,3291 (12.5%),12,230.6991,
230,6583 (25%),20,372.4849,
230,13167 (50%),37,779.5484,
230,19751 (75%),60,942.5092,
231,3320 (12.5%),12,231.2906,
231,6641 (25%),20,374.2907,
231,13282 (50%),36,658.8938,
231,19923 (75%),61,968.9043,
232,3349 (12.5%),12,235.0671,
232,6699 (25%),20,378.6683,
232,13398 (50%),37,667.1088,
232,20097 (75%),60,954.6349,
233,3378 (12.5%),12,238.3411,
233,6757 (25%),20,376.4861,
233,13514 (50%),37,661.3123,
233,20271 (75%),61,956.6870,
234,3407 (12.5%),12,235.4894,
234,6815 (25%),20,380.3971,
234,13630 (50%),37,677.7489,
234,20445 (75%),61,964.5228,
235,3436 (12.5%),13,233.8686,
235,6873 (25%),20,386.1716,
235,13747 (50%),37,682.2684,
235,20621 (75%),62,971.9255,
236,3466 (12.5%),13,238.5242,
236,6932 (25%),20,388.8433,
236,13865 (50%),38,689.1873,
236,20797 (75%),61,991.0433,
237,3495 (12.5%),13,240.7002,
237,6991 (25%),20,390.4500,
237,13983 (50%),37,679.9827,
237,20974 (75%),62,990.9649,
238,3525 (12.5%),13,247.6137,
238,7050 (25%),21,389.4892,
238,14101 (50%),38,699.6832,
238,21152 (75%),63,1001.6153,
239,3555 (12.5%),12,250.6132,
239,7110 (25%),20,393.8241,
239,14220 (50%),38,733.3310,
239,21330 (75%),63,1006.1297,
240,3585 (12.5%),12,244.8194,
240,7170 (25%),21,403.5048,
240,14340 (50%),38,708.8685,
240,21510 (75%),62,1011.2233,
241,3615 (12.5%),13,243.9981,
241,7230 (25%),21,400.2502,
241,14460 (50%),38,705.3008,
241,21690 (75%),63,1015.8782,
242,3645 (12.5%),13,247.6785,
242,7290 (25%),21,401.0911,
242,14580 (50%),38,714.7315,
242,21870 (75%),63,1024.2043,
243,3675 (12.5%),13,249.2263,
243,7350 (25%),21,405.4658,
243,14701 (50%),39,716.3212,
243,22052 (75%),64,1031.8136,
244,3705 (12.5%),12,248.8253,
244,7411 (25%),21,407.5110,
244,14823 (50%),38,730.9692,
244,22234 (75%),63,1042.2828,
245,3736 (12.5%),13,250.9599,
245,7472 (25%),21,410.6183,
245,14945 (50%),38,726.9366,
245,22417 (75%),63,1044.3254,
246,3766 (12.5%),13,253.9401,
246,7533 (25%),21,411.0804,
246,15067 (50%),38,741.5395,
246,22601 (75%),64,1068.0220,
247,3797 (12.5%),13,254.8537,
247,7595 (25%),21,414.7327,
247,15190 (50%),38,747.8833,
247,22785 (75%),65,1055.7485,
248,3828 (12.5%),13,255.5368,
248,7657 (25%),20,421.1423,
248,15314 (50%),39,750.1149,
248,22971 (75%),65,1076.3133,
249,3859 (12.5%),13,258.2006,
249,7719 (25%),21,473.2327,
249,15438 (50%),39,765.9249,
249,23157 (75%),65,1074.5711,
250,3890 (12.5%),13,263.2496,
250,7781 (25%),21,425.6325,
250,15562 (50%),40,754.6730,
250,23343 (75%),65,1076.8108,
251,3921 (12.5%),13,261.1237,
251,7843 (25%),21,429.5809,
251,15687 (50%),39,753.7189,
251,23531 (75%),64,1085.2156,
252,3953 (12.5%),13,263.4368,
252,7906 (25%),22,472.1041,
252,15813 (50%),40,797.0705,
252,23719 (75%),66,1137.2473,
253,3984 (12.5%),13,273.9165,
253,7969 (25%),21,451.4246,
253,15939 (50%),40,789.5186,
253,23908 (75%),66,1148.5512,
254,4016 (12.5%),13,280.1156,
254,8032 (25%),21,452.6246,
254,16065 (50%),39,794.5340,
254,24098 (75%),66,1143.7044,
255,4048 (12.5%),13,277.7877,
255,8096 (25%),22,454.8407,
255,16192 (50%),40,830.5540,
255,24288 (75%),66,1154.5823,
256,4080 (12.5%),13,278.4717,
256,8160 (25%),22,454.7660,
256,16320 (50%),40,804.1716,
256,24480 (75%),66,1159.5230,
257,4112 (12.5%),13,281.7729,
257,8224 (25%),22,458.1466,
257,16448 (50%),40,817.2059,
257,24672 (75%),66,1190.1283,
258,4144 (12.5%),13,283.2942,
258,8288 (25%),22,461.9553,
258,16576 (50%),40,821.8129,
258,24864 (75%),67,1190.7504,
259,4176 (12.5%),13,284.3485,
259,8352 (25%),22,468.3557,
259,16705 (50%),40,829.1850,
259,25058 (75%),66,1194.2391,
260,4208 (12.5%),13,287.6577,
260,8417 (25%),22,470.7448,
260,16835 (50%),41,836.9653,
260,25252 (75%),66,1219.9233,
261,4241 (12.5%),13,292.6140,
261,8482 (25%),22,482.9214,
261,16965 (50%),41,851.6359,
261,25447 (75%),67,1227.9377,
262,4273 (12.5%),13,293.1290,
262,8547 (25%),22,484.7517,
262,17095 (50%),41,859.4522,
262,25643 (75%),68,1250.4287,
263,4306 (12.5%),14,297.7450,
263,8613 (25%),22,490.5775,
263,17226 (50%),41,866.6551,
263,25839 (75%),68,1248.1406,
264,4339 (12.5%),13,298.3227,
264,8679 (25%),22,503.0997,
264,17358 (50%),41,934.8273,
264,26037 (75%),67,1238.4882,
265,4372 (12.5%),13,292.7911,
265,8745 (25%),23,490.0091,
265,17490 (50%),41,861.9919,
265,26235 (75%),69,1240.0117,
266,4405 (12.5%),13,294.4260,
266,8811 (25%),22,497.1547,
266,17622 (50%),41,877.0187,
266,26433 (75%),68,1301.1866,
267,4438 (12.5%),14,312.6690,
267,8877 (25%),23,513.5379,
267,17755 (50%),41,912.3065,
267,26633 (75%),67,1323.2269,
268,4472 (12.5%),14,313.2043,
268,8944 (25%),23,524.1129,
268,17889 (50%),42,915.6821,
268,26833 (75%),69,1344.2652,
269,4505 (12.5%),14,320.9519,
269,9011 (25%),23,520.8402,
269,18023 (50%),41,931.5085,
269,27034 (75%),69,1343.8168,
270,4539 (12.5%),14,313.9145,
270,9078 (25%),22,538.9197,
270,18157 (50%),42,932.9174,
270,27236 (75%),70,1350.4596,
271,4573 (12.5%),14,323.9088,
271,9146 (25%),22,529.6292,
271,18292 (50%),42,939.3818,
271,27438 (75%),69,1431.0389,
272,4607 (12.5%),14,326.8964,
272,9214 (25%),23,531.9099,
272,18428 (50%),42,954.2258,
272,27642 (75%),69,1373.5523,
273,4641 (12.5%),14,326.0987,
273,9282 (25%),22,539.9959,
273,18564 (50%),42,962.9173,
273,27846 (75%),71,1392.3287,
274,4675 (12.5%),14,327.0569,
274,9350 (25%),23,572.0320,
274,18700 (50%),42,974.7360,
274,28050 (75%),70,1402.1983,
275,4709 (12.5%),14,332.0312,
275,9418 (25%),23,548.9497,
275,18837 (50%),43,971.2741,
275,28256 (75%),70,1401.4635,
276,4743 (12.5%),14,334.1503,
276,9487 (25%),23,549.6888,
276,18975 (50%),43,985.0824,
276,28462 (75%),71,1413.6496,
277,4778 (12.5%),14,333.8406,
277,9556 (25%),23,552.4909,
277,19113 (50%),43,996.7914,
277,28669 (75%),71,1430.7754,
278,4812 (12.5%),14,336.3099,
278,9625 (25%),23,559.1276,
278,19251 (50%),43,997.3056,
278,28877 (75%),71,1430.5937,
279,4847 (12.5%),14,338.7482,
279,9695 (25%),23,562.9916,
279,19390 (50%),43,1014.1940,
279,29085 (75%),70,1451.1995,
280,4882 (12.5%),14,344.6395,
280,9765 (25%),23,567.8468,
280,19530 (50%),43,1025.7967,
280,29295 (75%),71,1465.9429,
281,4917 (12.5%),14,346.6134,
281,9835 (25%),24,575.1922,
281,19670 (50%),42,1021.1525,
281,29505 (75%),72,1480.0270,
282,4952 (12.5%),14,348.7275,
282,9905 (25%),23,579.0486,
282,19810 (50%),44,1036.2666,
282,29715 (75%),71,1492.7497,
283,4987 (12.5%),14,350.0724,
283,9975 (25%),23,582.4859,
283,19951 (50%),43,1040.5953,
283,29927 (75%),72,1527.4718,
284,5023 (12.5%),14,356.2925,
284,10046 (25%),24,589.5362,
284,20093 (50%),44,1046.6540,
284,30139 (75%),72,1512.0568,
285,5058 (12.5%),14,356.4534,
285,10117 (25%),23,595.2756,
285,20235 (50%),43,1056.1373,
285,30352 (75%),71,1532.3975,
286,5094 (12.5%),14,358.8161,
286,10188 (25%),23,596.4568,
286,20377 (50%),44,1064.9455,
286,30566 (75%),71,1549.9592,
287,5130 (12.5%),14,362.5236,
287,10260 (25%),24,645.9413,
287,20520 (50%),44,1079.2611,
287,30780 (75%),73,1553.3221,
288,5166 (12.5%),14,366.0688,
288,10332 (25%),24,605.8571,
288,20664 (50%),44,1083.3187,
288,30996 (75%),72,1598.7604,
289,5202 (12.5%),14,374.7549,
289,10404 (25%),24,611.8827,
289,20808 (50%),44,1112.5805,
289,31212 (75%),73,1593.2846,
290,5238 (12.5%),14,370.7590,
290,10476 (25%),24,616.9116,
290,20952 (50%),44,1104.1586,
290,31428 (75%),73,1602.5641,
291,5274 (12.5%),14,372.5116,
291,10548 (25%),24,621.2738,
291,21097 (50%),45,1117.6991,
291,31646 (75%),74,1625.8337,
292,5310 (12.5%),14,376.3914,
292,10621 (25%),24,656.1215,
292,21243 (50%),44,1265.3689,
292,31864 (75%),74,2027.4518,
293,5347 (12.5%),15,441.1852,
293,10694 (25%),24,689.4014,
293,21389 (50%),45,1286.7522,
293,32083 (75%),74,1830.2274,
294,5383 (12.5%),14,431.3397,
294,10767 (25%),24,880.6875,
294,21535 (50%),44,1415.1256,
294,32303 (75%),74,1848.4588,
295,5420 (12.5%),14,417.4728,
295,10841 (25%),24,699.5878,
295,21682 (50%),45,1283.0508,
295,32523 (75%),75,2065.7494,
296,5457 (12.5%),15,429.9338,
296,10915 (25%),25,793.2575,
296,21830 (50%),45,1382.4291,
296,32745 (75%),75,1800.6506,
297,5494 (12.5%),15,433.8017,
297,10989 (25%),24,709.5747,
297,21978 (50%),45,1288.2943,
297,32967 (75%),76,1849.9739,
298,5531 (12.5%),15,424.9191,
298,11063 (25%),24,722.5547,
298,22126 (50%),45,1196.9035,
298,33189 (75%),74,1808.2614,
299,5568 (12.5%),14,436.5802,
299,11137 (25%),25,672.6081,
299,22275 (50%),45,1300.1254,
299,33413 (75%),76,1754.2861,
300,5606 (12.5%),15,401.1459,
300,11212 (25%),25,731.6096,
300,22425 (50%),46,1333.4169,
300,33637 (75%),76,1817.3327,
301,5643 (12.5%),15,419.0073,
301,11287 (25%),24,731.3242,
301,22575 (50%),46,1247.4349,
301,33862 (75%),76,1910.4707,
302,5681 (12.5%),15,405.0643,
302,11362 (25%),25,687.5918,
302,22725 (50%),46,1312.8037,
302,34088 (75%),76,1895.9758,
303,5719 (12.5%),15,421.2992,
303,11438 (25%),24,695.5063,
303,22876 (50%),45,1273.7000,
303,34314 (75%),76,1929.6885,
304,5757 (12.5%),15,446.1019,
304,11514 (25%),25,730.7053,
304,23028 (50%),46,1313.0617,
304,34542 (75%),76,1970.6712,
305,5795 (12.5%),15,481.5395,
305,11590 (25%),25,708.9176,
305,23180 (50%),46,1253.5701,
305,34770 (75%),76,1845.0861,
306,5833 (12.5%),15,456.9342,
306,11666 (25%),25,767.6346,
306,23332 (50%),46,1662.4947,
306,34998 (75%),77,1867.5823,
307,5871 (12.5%),15,513.7820,
307,11742 (25%),25,731.6585,
307,23485 (50%),46,1266.5896,
307,35228 (75%),76,1858.1676,
308,5909 (12.5%),15,427.2671,
308,11819 (25%),25,709.4016,
308,23639 (50%),46,1278.1630,
308,35458 (75%),78,1854.0528,
309,5948 (12.5%),15,429.8348,
309,11896 (25%),25,716.2552,
309,23793 (50%),47,1282.9568,
309,35689 (75%),77,1861.8748,
310,5986 (12.5%),15,429.5738,
310,11973 (25%),25,723.4545,
310,23947 (50%),47,1296.1557,
310,35921 (75%),78,1873.7073,
311,6025 (12.5%),15,425.9527,
311,12051 (25%),25,731.4887,
311,24102 (50%),47,1296.0734,
311,36153 (75%),79,1880.2378,
312,6064 (12.5%),15,426.5368,
312,12129 (25%),25,724.7953,
312,24258 (50%),47,1323.9379,
312,36387 (75%),78,1916.8317,
313,6103 (12.5%),15,431.7319,
313,12207 (25%),25,732.2512,
313,24414 (50%),47,1314.5411,
313,36621 (75%),79,1913.8825,
314,6142 (12.5%),15,437.6099,
314,12285 (25%),25,740.0408,
314,24570 (50%),47,1345.2716,
314,36855 (75%),79,1927.5281,
315,6181 (12.5%),15,437.2046,
315,12363 (25%),25,740.6058,
315,24727 (50%),47,1333.7343,
315,37091 (75%),79,2098.7210,
316,6221 (12.5%),15,441.2069,
316,12442 (25%),25,746.1393,
316,24885 (50%),48,1345.4664,
316,37327 (75%),79,1988.7006,
317,6260 (12.5%),15,452.0993,
317,12521 (25%),25,761.9610,
317,25043 (50%),47,1380.5013,
317,37564 (75%),79,2001.3604,
318,6300 (12.5%),15,453.7303,
318,12600 (25%),25,770.6382,
318,25201 (50%),48,1381.6483,
318,37802 (75%),80,2026.7553,
319,6340 (12.5%),15,457.0987,
319,12680 (25%),25,778.3370,
319,25360 (50%),48,1392.7932,
319,38040 (75%),79,2000.8674,
320,6380 (12.5%),15,452.1823,
320,12760 (25%),26,769.6908,
320,25520 (50%),49,1381.6245,
320,38280 (75%),79,2005.4038,
321,6420 (12.5%),15,458.1690,
321,12840 (25%),25,772.1043,
321,25680 (50%),48,1388.0672,
321,38520 (75%),80,2023.1307,
322,6460 (12.5%),16,457.2456,
322,12920 (25%),26,773.9866,
322,25840 (50%),48,1395.4237,
322,38760 (75%),80,2035.5146,
323,6500 (12.5%),16,463.6433,
323,13000 (25%),26,776.7417,
323,26001 (50%),48,1404.2091,
323,39002 (75%),81,2050.6055,
324,6540 (12.5%),15,463.5110,
324,13081 (25%),26,781.8680,
324,26163 (50%),48,1413.4300,
324,39244 (75%),81,2060.7436,
325,6581 (12.5%),16,465.7948,
325,13162 (25%),26,792.3694,
325,26325 (50%),49,1429.3430,
325,39487 (75%),81,2082.3092,
326,6621 (12.5%),16,467.6526,
326,13243 (25%),26,797.5550,
326,26487 (50%),49,1431.6518,
326,39731 (75%),81,2091.6219,
327,6662 (12.5%),16,472.9669,
327,13325 (25%),26,796.8705,
327,26650 (50%),49,1443.4540,
327,39975 (75%),81,2107.9376,
328,6703 (12.5%),15,474.5848,
328,13407 (25%),26,804.7495,
328,26814 (50%),49,1454.7594,
328,40221 (75%),82,2117.9440,
329,6744 (12.5%),16,479.2943,
329,13489 (25%),26,814.4035,
329,26978 (50%),49,1479.8243,
329,40467 (75%),82,2130.9984,
330,6785 (12.5%),16,480.6471,
330,13571 (25%),26,815.1629,
330,27142 (50%),49,1476.6331,
330,40713 (75%),82,2157.2936,
331,6826 (12.5%),16,485.3933,
331,13653 (25%),26,816.8199,
331,27307 (50%),49,1484.4019,
331,40961 (75%),82,2163.4257,
332,6868 (12.5%),16,495.1890,
332,13736 (25%),26,848.2275,
332,27473 (50%),50,1527.7400,
332,41209 (75%),82,2232.0430,
333,6909 (12.5%),16,495.0843,
333,13819 (25%),27,854.1949,
333,27639 (50%),50,1541.5819,
333,41458 (75%),82,2248.5571,
334,6951 (12.5%),16,498.8685,
334,13902 (25%),27,855.7451,
334,27805 (50%),50,1551.4562,
334,41708 (75%),82,2259.1279,
335,6993 (12.5%),16,492.4300,
335,13986 (25%),26,851.0566,
335,27972 (50%),50,1526.1762,
335,41958 (75%),83,2220.2325,
336,7035 (12.5%),16,500.2658,
336,14070 (25%),26,843.2324,
336,28140 (50%),50,1541.5390,
336,42210 (75%),83,2235.9657,
337,7077 (12.5%),16,498.8964,
337,14154 (25%),27,850.7981,
337,28308 (50%),50,1559.7632,
337,42462 (75%),83,2515.9106,
338,7119 (12.5%),16,565.2514,
338,14238 (25%),27,926.8732,
338,28476 (50%),50,1942.9700,
338,42714 (75%),83,2511.8096,
339,7161 (12.5%),16,802.0024,
339,14322 (25%),26,965.1628,
339,28645 (50%),50,1943.3231,
339,42968 (75%),84,2575.2110,
340,7203 (12.5%),16,552.9678,
340,14407 (25%),27,933.4371,
340,28815 (50%),51,1842.2642,
340,43222 (75%),85,2794.1935,
341,7246 (12.5%),16,619.4847,
341,14492 (25%),27,944.5062,
341,28985 (50%),51,1641.1865,
341,43477 (75%),84,2820.7257,
342,7288 (12.5%),16,662.7891,
342,14577 (25%),27,918.9184,
342,29155 (50%),50,1783.5705,
342,43733 (75%),84,2593.4312,
343,7331 (12.5%),16,561.1153,
343,14663 (25%),27,960.1123,
343,29326 (50%),51,2089.5960,
343,43989 (75%),85,2637.0053,
344,7374 (12.5%),16,618.5915,
344,14749 (25%),28,1043.9677,
344,29498 (50%),51,1823.5128,
344,44247 (75%),85,2634.3262,
345,7417 (12.5%),16,591.8627,
345,14835 (25%),27,960.5329,
345,29670 (50%),51,1710.5625,
345,44505 (75%),85,2566.6552,
346,7460 (12.5%),16,551.9257,
346,14921 (25%),27,994.6995,
346,29842 (50%),51,1750.6196,
346,44763 (75%),86,2534.7862,
347,7503 (12.5%),16,551.6067,
347,15007 (25%),27,1031.8279,
347,30015 (50%),51,1746.3894,
347,45023 (75%),85,2628.2206,
348,7547 (12.5%),16,637.2366,
348,15094 (25%),27,970.0196,
348,30189 (50%),51,1871.5792,
348,45283 (75%),86,2585.3786,
349,7590 (12.5%),16,595.8781,
349,15181 (25%),28,1004.2338,
349,30363 (50%),51,1741.1981,
349,45544 (75%),85,2596.6258,
350,7634 (12.5%),16,643.0404,
350,15268 (25%),28,970.6764,
350,30537 (50%),51,1779.0320,
350,45806 (75%),85,2598.4724,
351,7678 (12.5%),17,603.8373,
351,15356 (25%),28,1094.6162,
351,30712 (50%),52,1922.6823,
351,46068 (75%),87,2615.1998,
352,7722 (12.5%),17,658.5937,
352,15444 (25%),28,1049.2210,
352,30888 (50%),52,1922.9198,
352,46332 (75%),87,2794.3621,
353,7766 (12.5%),17,647.2526,
353,15532 (25%),28,1102.8686,
353,31064 (50%),52,1851.9201,
353,46596 (75%),87,2768.6133,
354,7810 (12.5%),16,599.5712,
354,15620 (25%),27,1058.4500,
354,31240 (50%),52,1870.6160,
354,46860 (75%),87,2902.2553,
355,7854 (12.5%),17,612.8132,
355,15708 (25%),28,1100.9955,
355,31417 (50%),52,1801.6968,
355,47126 (75%),87,2641.2044,
356,7898 (12.5%),17,579.8414,
356,15797 (25%),28,1046.5202,
356,31595 (50%),53,1834.6989,
356,47392 (75%),87,2774.3275,
357,7943 (12.5%),17,618.7687,
357,15886 (25%),28,1068.4643,
357,31773 (50%),52,1779.4006,
357,47659 (75%),87,2602.4895,
358,7987 (12.5%),17,578.3165,
358,15975 (25%),28,1032.6619,
358,31951 (50%),52,2014.7429,
358,47927 (75%),87,3252.8546,
359,8032 (12.5%),16,756.9849,
359,16065 (25%),28,1035.0654,
359,32130 (50%),53,1850.3878,
359,48195 (75%),88,2700.3446,
360,8077 (12.5%),17,588.7663,
360,16155 (25%),28,1016.7904,
360,32310 (50%),53,1846.8425,
360,48465 (75%),87,3277.4577,
361,8122 (12.5%),17,819.1156,
361,16245 (25%),28,1395.1120,
361,32490 (50%),53,2284.6839,
361,48735 (75%),88,3425.8144,
362,8167 (12.5%),17,604.7399,
362,16335 (25%),28,1244.6582,
362,32670 (50%),53,2087.8131,
362,49005 (75%),89,2947.6810,
363,8212 (12.5%),17,623.8177,
363,16425 (25%),28,1041.5792,
363,32851 (50%),53,2025.8226,
363,49277 (75%),88,2779.4228,
364,8258 (12.5%),17,669.3912,
364,16516 (25%),28,1106.0622,
364,33033 (50%),54,1944.0398,
364,49549 (75%),89,3053.1933,
365,8303 (12.5%),17,626.2882,
365,16607 (25%),29,1059.8595,
365,33215 (50%),54,2018.1532,
365,49822 (75%),88,2870.8630,
366,8349 (12.5%),17,628.0162,
366,16698 (25%),28,1063.3795,
366,33397 (50%),53,1952.6699,
366,50096 (75%),89,2878.2437,
367,8395 (12.5%),17,622.2506,
367,16790 (25%),29,1112.2375,
367,33580 (50%),54,1978.5061,
367,50370 (75%),89,2919.7078,
368,8441 (12.5%),17,665.1907,
368,16882 (25%),28,1103.9870,
368,33764 (50%),54,2017.4515,
368,50646 (75%),89,2757.2474,
369,8487 (12.5%),17,593.3120,
369,16974 (25%),29,1051.1022,
369,33948 (50%),54,1883.4884,
369,50922 (75%),89,3245.9805,
370,8533 (12.5%),17,603.9293,
370,17066 (25%),29,1084.5211,
370,34132 (50%),54,2016.8099,
370,51198 (75%),89,2982.7950,
371,8579 (12.5%),17,630.8939,
371,17158 (25%),28,1103.1651,
371,34317 (50%),54,2063.9989,
371,51476 (75%),89,3020.3211,
372,8625 (12.5%),17,636.5168,
372,17251 (25%),29,1089.1793,
372,34503 (50%),55,2049.3331,
372,51754 (75%),90,3027.7243,
373,8672 (12.5%),17,642.7186,
373,17344 (25%),29,1122.9308,
373,34689 (50%),54,2035.0556,
373,52033 (75%),90,3198.8535,
374,8718 (12.5%),17,776.6721,
374,17437 (25%),29,1209.6329,
374,34875 (50%),54,2101.1901,
374,52313 (75%),91,3126.1532,
375,8765 (12.5%),17,674.1400,
375,17531 (25%),29,1218.5028,
375,35062 (50%),55,2061.1570,
375,52593 (75%),91,3262.8953,
376,8812 (12.5%),17,648.8011,
376,17625 (25%),29,1225.9178,
376,35250 (50%),54,2093.8702,
376,52875 (75%),91,3125.7489,
377,8859 (12.5%),18,678.4089,
377,17719 (25%),29,1120.3053,
377,35438 (50%),55,2119.5214,
377,53157 (75%),92,3148.6325,
378,8906 (12.5%),17,689.7762,
378,17813 (25%),29,1145.0889,
378,35626 (50%),55,2177.1114,
378,53439 (75%),92,3358.0334,
379,8953 (12.5%),18,647.8157,
379,17907 (25%),29,1128.7086,
379,35815 (50%),55,2130.4915,
379,53723 (75%),92,3130.6338,
380,9001 (12.5%),17,702.3113,
380,18002 (25%),30,1168.4384,
380,36005 (50%),54,2366.4432,
380,54007 (75%),92,3139.6844,
381,9048 (12.5%),18,750.6249,
381,18097 (25%),29,1239.7475,
381,36195 (50%),55,2088.9904,
381,54292 (75%),92,3050.1909,
382,9096 (12.5%),18,663.5799,
382,18192 (25%),30,1143.7836,
382,36385 (50%),55,2113.8971,
382,54578 (75%),92,3566.3126,
383,9144 (12.5%),18,680.4709,
383,18288 (25%),30,1689.8878,
383,36576 (50%),55,2290.4060,
383,54864 (75%),92,3858.4199,
384,9192 (12.5%),17,772.9070,
384,18384 (25%),29,1313.2424,
384,36768 (50%),55,2123.7631,
384,55152 (75%),93,3093.4625,
385,9240 (12.5%),17,663.3546,
385,18480 (25%),29,1152.1585,
385,36960 (50%),56,2177.7945,
385,55440 (75%),93,3216.0563,
386,9288 (12.5%),18,668.8671,
386,18576 (25%),29,1162.0057,
386,37152 (50%),56,2417.7096,
386,55728 (75%),93,3100.5368,
387,9336 (12.5%),17,673.8307,
387,18672 (25%),30,1168.4515,
387,37345 (50%),56,2180.1167,
387,56018 (75%),93,3264.7164,
388,9384 (12.5%),18,733.2740,
388,18769 (25%),30,1257.0047,
388,37539 (50%),56,2415.9553,
388,56308 (75%),93,3490.5529,
389,9433 (12.5%),18,709.1885,
389,18866 (25%),30,1219.7976,
389,37733 (50%),56,2539.2356,
389,56599 (75%),95,3396.3225,
390,9481 (12.5%),18,760.1869,
390,18963 (25%),30,1270.5829,
390,37927 (50%),57,2368.4034,
390,56891 (75%),94,3615.1662,
391,9530 (12.5%),18,665.0031,
391,19061 (25%),30,1187.0222,
391,38122 (50%),56,2177.7563,
391,57183 (75%),94,3719.5864,
392,9579 (12.5%),18,799.0370,
392,19159 (25%),30,1277.6964,
392,38318 (50%),56,2407.7384,
392,57477 (75%),95,3376.9307,
393,9628 (12.5%),18,750.5074,
393,19257 (25%),30,1417.8667,
393,38514 (50%),57,2483.1834,
393,57771 (75%),96,3435.3380,
394,9677 (12.5%),18,717.5283,
394,19355 (25%),30,1273.9437,
394,38710 (50%),57,2182.6849,
394,58065 (75%),95,3229.1410,
395,9726 (12.5%),18,715.3134,
395,19453 (25%),30,1265.4309,
395,38907 (50%),57,2301.5902,
395,58361 (75%),96,3388.7291,
396,9776 (12.5%),18,719.2087,
396,19552 (25%),30,1245.0604,
396,39105 (50%),57,2279.7587,
396,58657 (75%),96,3336.8342,
397,9825 (12.5%),18,727.6514,
397,19651 (25%),31,1249.8848,
397,39303 (50%),58,2280.6346,
397,58954 (75%),96,3354.8076,
398,9875 (12.5%),18,713.4771,
398,19750 (25%),30,1256.2399,
398,39501 (50%),57,2293.0868,
398,59252 (75%),95,3395.6084,
399,9925 (12.5%),18,726.0623,
399,19850 (25%),31,1250.6914,
399,39700 (50%),58,2299.6070,
399,59550 (75%),97,3381.6607,
400,9975 (12.5%),18,720.6264,
400,19950 (25%),30,1250.6058,
400,39900 (50%),58,2300.9424,
