Vertices,Edge %,Chromatic Number,Exec Time,Precision
51,637 (50%),11,28.9187,
51,956 (75%),17,38.4502,
52,165 (12.5%),5,16.6821,
52,331 (25%),7,21.1754,
52,663 (50%),11,30.6196,
52,994 (75%),18,40.2744,
53,172 (12.5%),5,17.6415,
53,344 (25%),7,22.6917,
53,689 (50%),11,32.4469,
53,1033 (75%),18,42.5320,
54,178 (12.5%),5,18.2042,
54,357 (25%),7,23.3595,
54,715 (50%),12,33.9842,
54,1073 (75%),18,44.6484,
55,185 (12.5%),5,19.2270,
55,371 (25%),7,24.3320,
55,742 (50%),12,35.4574,
55,1113 (75%),19,46.3777,
56,192 (12.5%),5,19.7992,
56,385 (25%),7,25.1594,
56,770 (50%),12,36.6971,
56,1155 (75%),19,48.9457,
57,199 (12.5%),5,19.9678,
57,399 (25%),7,26.5334,
57,798 (50%),12,39.0642,
57,1197 (75%),19,50.7903,
58,206 (12.5%),5,21.0943,
58,413 (25%),7,27.7267,
58,826 (50%),13,39.9752,
58,1239 (75%),19,53.9618,
59,213 (12.5%),5,21.7285,
59,427 (25%),7,28.8763,
59,855 (50%),12,43.0317,
59,1283 (75%),19,55.8612,
60,221 (12.5%),5,22.6765,
60,442 (25%),7,29.7484,
60,885 (50%),11,44.0581,
60,1327 (75%),20,58.8586,
61,228 (12.5%),5,23.6070,
61,457 (25%),8,31.5986,
61,915 (50%),13,48.1153,
61,1372 (75%),20,69.5333,
62,236 (12.5%),5,24.9434,
62,472 (25%),8,34.6069,
62,945 (50%),13,47.6158,
62,1418 (75%),20,64.8165,
63,244 (12.5%),5,32.6707,
63,488 (25%),8,40.0794,
63,976 (50%),13,60.1244,
63,1464 (75%),21,80.2348,
64,252 (12.5%),5,33.4468,
64,504 (25%),8,42.9447,
64,1008 (50%),14,62.8719,
64,1512 (75%),22,84.2605,
65,260 (12.5%),5,29.8922,
65,520 (25%),8,36.2318,
65,1040 (50%),14,54.9366,
65,1560 (75%),21,73.9949,
66,268 (12.5%),5,29.3548,
66,536 (25%),8,38.9183,
