Vertices,Edge %,Chromatic Number,Exec Time,Basic Operations,Configurations Tested,Precision
42,107 (12.5%),5,0.0379,57,42,
42,215 (25%),6,0.0486,103,42,
42,430 (50%),10,0.0675,165,42,
42,645 (75%),15,0.0892,287,42,
43,112 (12.5%),5,0.0384,55,43,
43,225 (25%),7,0.0510,110,43,
43,451 (50%),10,0.0701,162,43,
43,677 (75%),14,0.0927,280,43,
44,118 (12.5%),4,0.0398,56,44,
44,236 (25%),6,0.0517,104,44,
44,473 (50%),12,0.0739,202,44,
44,709 (75%),16,0.0992,310,44,
45,123 (12.5%),4,0.0393,63,45,
45,247 (25%),7,0.0620,119,45,
45,495 (50%),12,0.0801,204,45,
45,742 (75%),16,0.0973,306,45,
46,129 (12.5%),4,0.0408,55,46,
46,258 (25%),6,0.0522,105,46,
46,517 (50%),11,0.0782,207,46,
46,776 (75%),17,0.1040,337,46,
47,135 (12.5%),5,0.0427,81,47,
47,270 (25%),6,0.0565,114,47,
47,540 (50%),12,0.0811,229,47,
47,810 (75%),18,0.1073,375,47,
48,141 (12.5%),5,0.0756,68,48,
48,282 (25%),7,0.0613,133,48,
48,564 (50%),12,0.0854,241,48,
48,846 (75%),19,0.1156,405,48,
49,147 (12.5%),5,0.0441,83,49,
49,294 (25%),7,0.0606,126,49,
49,588 (50%),11,0.2127,227,49,
49,882 (75%),18,0.1168,393,49,
50,153 (12.5%),5,0.0463,78,50,
50,306 (25%),8,0.0625,128,50,
50,612 (50%),11,0.0894,238,50,
50,918 (75%),19,0.1206,406,50,
51,159 (12.5%),5,0.0474,73,51,
51,318 (25%),7,0.0634,122,51,
51,637 (50%),14,0.0937,277,51,
51,956 (75%),18,0.1233,409,51,
52,165 (12.5%),4,0.0486,66,52,
52,331 (25%),7,0.0641,124,52,
52,663 (50%),11,0.1247,251,52,
52,994 (75%),19,0.1273,422,52,
53,172 (12.5%),5,0.0501,83,53,
53,344 (25%),8,0.0694,149,53,
53,689 (50%),12,0.0987,268,53,
53,1033 (75%),20,0.1323,476,53,
54,178 (12.5%),5,0.0513,80,54,
54,357 (25%),7,0.0658,136,54,
54,715 (50%),12,0.1025,283,54,
54,1073 (75%),19,0.1366,453,54,
55,185 (12.5%),5,0.0494,83,55,
55,371 (25%),8,0.0706,162,55,
55,742 (50%),12,0.1044,286,55,
55,1113 (75%),20,0.1426,495,55,
56,192 (12.5%),6,0.0544,98,56,
56,385 (25%),8,0.0708,167,56,
56,770 (50%),14,0.1066,329,56,
56,1155 (75%),21,0.1450,518,56,
57,199 (12.5%),5,0.0532,98,57,
57,399 (25%),8,0.0734,153,57,
57,798 (50%),14,0.1147,294,57,
57,1197 (75%),20,0.1512,515,57,
58,206 (12.5%),5,0.0536,99,58,
58,413 (25%),8,0.0749,151,58,
58,826 (50%),13,0.1168,300,58,
58,1239 (75%),21,0.1554,510,58,
59,213 (12.5%),6,0.0708,111,59,
59,427 (25%),8,0.0823,168,59,
59,855 (50%),13,0.1156,328,59,
59,1283 (75%),20,0.1633,536,59,
60,221 (12.5%),6,0.0579,111,60,
60,442 (25%),8,0.0782,179,60,
60,885 (50%),13,0.1204,316,60,
60,1327 (75%),21,0.1605,546,60,
61,228 (12.5%),5,0.0591,105,61,
61,457 (25%),8,0.0818,187,61,
61,915 (50%),13,0.1225,329,61,
61,1372 (75%),21,0.2174,596,61,
62,236 (12.5%),6,0.0644,122,62,
62,472 (25%),8,0.0868,193,62,
62,945 (50%),13,0.1326,338,62,
62,1418 (75%),21,0.1740,597,62,
63,244 (12.5%),6,0.0613,118,63,
63,488 (25%),8,0.0885,185,63,
63,976 (50%),15,0.1960,379,63,
63,1464 (75%),22,0.1941,622,63,
64,252 (12.5%),6,0.1414,123,64,
64,504 (25%),8,0.1178,194,64,
64,1008 (50%),15,0.1619,389,64,
64,1512 (75%),23,0.1988,657,64,
65,260 (12.5%),5,0.0737,113,65,
65,520 (25%),8,0.0892,196,65,
65,1040 (50%),14,0.1385,402,65,
65,1560 (75%),22,0.2000,673,65,
66,268 (12.5%),6,0.0639,117,66,
66,536 (25%),9,0.0982,213,66,
66,1072 (50%),15,0.1380,413,66,
66,1608 (75%),23,0.2060,667,66,
67,276 (12.5%),6,0.0699,116,67,
67,552 (25%),8,0.0939,190,67,
67,1105 (50%),15,0.1593,422,67,
67,1658 (75%),23,0.2131,713,67,
68,284 (12.5%),6,0.0749,131,68,
68,569 (25%),10,0.1006,226,68,
68,1139 (50%),14,0.1495,412,68,
68,1708 (75%),23,0.2146,728,68,
69,293 (12.5%),6,0.0734,135,69,
69,586 (25%),9,0.0944,209,69,
69,1173 (50%),15,0.1552,452,69,
69,1759 (75%),22,0.2229,689,69,
70,301 (12.5%),5,0.0763,114,70,
70,603 (25%),9,0.1056,231,70,
70,1207 (50%),15,0.1595,423,70,
70,1811 (75%),23,0.2167,703,70,
71,310 (12.5%),6,0.0725,126,71,
71,621 (25%),9,0.1040,249,71,
71,1242 (50%),15,0.1624,455,71,
71,1863 (75%),23,0.2344,753,71,
72,319 (12.5%),6,0.0734,141,72,
72,639 (25%),10,0.1006,258,72,
72,1278 (50%),16,0.1640,481,72,
72,1917 (75%),26,0.2394,832,72,
73,328 (12.5%),6,0.1264,134,73,
73,657 (25%),9,0.1085,263,73,
73,1314 (50%),17,0.1738,481,73,
73,1971 (75%),25,0.2506,765,73,
74,337 (12.5%),6,0.0792,145,74,
74,675 (25%),8,0.1092,242,74,
74,1350 (50%),16,0.1752,493,74,
74,2025 (75%),26,0.2413,891,74,
75,346 (12.5%),6,0.0782,141,75,
75,693 (25%),9,0.1118,246,75,
75,1387 (50%),16,0.1934,467,75,
75,2081 (75%),27,0.2530,812,75,
76,356 (12.5%),6,0.0823,161,76,
76,712 (25%),11,0.1168,285,76,
76,1425 (50%),16,0.1886,500,76,
76,2137 (75%),25,0.2601,884,76,
77,365 (12.5%),7,0.0780,164,77,
77,731 (25%),10,0.1187,288,77,
77,1463 (50%),17,0.2503,521,77,
77,2194 (75%),24,0.2489,867,77,
78,375 (12.5%),6,0.0827,155,78,
78,750 (25%),10,0.1228,298,78,
78,1501 (50%),17,0.1876,488,78,
78,2252 (75%),25,0.2747,888,78,
79,385 (12.5%),6,0.0858,174,79,
79,770 (25%),10,0.1352,289,79,
79,1540 (50%),16,0.2010,514,79,
79,2310 (75%),28,0.2775,984,79,
80,395 (12.5%),7,0.0815,177,80,
80,790 (25%),10,0.1316,297,80,
80,1580 (50%),16,0.1912,510,80,
80,2370 (75%),26,1.0462,923,80,
81,405 (12.5%),7,0.0870,182,81,
81,810 (25%),10,0.1285,308,81,
81,1620 (50%),18,0.2172,592,81,
81,2430 (75%),26,0.3057,981,81,
82,415 (12.5%),6,0.1893,173,82,
82,830 (25%),10,0.1304,313,82,
82,1660 (50%),16,0.2468,559,82,
82,2490 (75%),28,0.3171,1045,82,
83,425 (12.5%),7,0.0868,184,83,
83,850 (25%),10,0.1373,314,83,
83,1701 (50%),18,0.2182,589,83,
83,2552 (75%),27,0.3121,1014,83,
84,435 (12.5%),7,0.0908,191,84,
84,871 (25%),10,0.1297,317,84,
84,1743 (50%),18,0.2224,653,84,
84,2614 (75%),27,0.3009,998,84,
85,446 (12.5%),6,0.0966,178,85,
85,892 (25%),11,0.1390,342,85,
85,1785 (50%),18,0.2341,672,85,
85,2677 (75%),27,0.3130,1008,85,
86,456 (12.5%),7,0.0951,193,86,
86,913 (25%),10,0.1397,317,86,
86,1827 (50%),20,0.2415,665,86,
86,2741 (75%),28,0.3271,1039,86,
87,467 (12.5%),7,0.0949,212,87,
87,935 (25%),11,0.1504,339,87,
87,1870 (50%),18,0.3045,639,87,
87,2805 (75%),29,1.2119,1083,87,
88,478 (12.5%),7,0.1390,194,88,
88,957 (25%),11,0.1528,334,88,
88,1914 (50%),17,0.2434,676,88,
88,2871 (75%),28,0.3362,1113,88,
89,489 (12.5%),7,0.0999,208,89,
89,979 (25%),11,0.1509,362,89,
89,1958 (50%),20,0.2522,736,89,
89,2937 (75%),29,0.3433,1190,89,
90,500 (12.5%),7,0.1006,197,90,
90,1001 (25%),11,0.1595,375,90,
90,2002 (50%),17,0.2580,681,90,
90,3003 (75%),30,0.3331,1177,90,
91,511 (12.5%),7,0.1018,209,91,
91,1023 (25%),11,0.1550,383,91,
91,2047 (50%),19,0.2670,705,91,
91,3071 (75%),31,0.3719,1284,91,
92,523 (12.5%),7,0.1082,221,92,
92,1046 (25%),10,0.1576,356,92,
92,2093 (50%),18,0.2644,754,92,
92,3139 (75%),32,0.5260,1307,92,
93,534 (12.5%),6,0.1070,211,93,
93,1069 (25%),11,0.1631,373,93,
93,2139 (50%),19,0.2618,775,93,
93,3208 (75%),31,0.3612,1264,93,
94,546 (12.5%),7,0.1063,206,94,
94,1092 (25%),11,0.1647,412,94,
94,2185 (50%),18,0.2692,766,94,
94,3278 (75%),31,0.3612,1274,94,
95,558 (12.5%),7,0.1161,226,95,
95,1116 (25%),11,0.1638,388,95,
95,2232 (50%),18,0.2830,760,95,
