Vertices,Edge %,Chromatic Number,Exec Time,Basic Operations,Configurations Tested,Precision
165,10147 (75%),48,1.0600,3626,165,
166,1711 (12.5%),9,0.3300,587,166,
166,3423 (25%),15,1.5433,1058,166,
166,6847 (50%),29,0.7226,2140,166,
166,10271 (75%),47,1.3118,3618,166,
167,1732 (12.5%),10,0.2732,619,167,
167,3465 (25%),16,0.4928,1110,167,
167,6930 (50%),29,0.7808,2201,167,
167,10395 (75%),46,1.0343,3356,167,
168,1753 (12.5%),10,0.2928,640,168,
168,3507 (25%),18,0.4160,1140,168,
168,7014 (50%),29,0.7691,2148,168,
168,10521 (75%),48,1.0593,3643,168,
169,1774 (12.5%),10,0.2892,616,169,
169,3549 (25%),16,0.4411,1106,169,
169,7098 (50%),30,0.8049,2212,169,
169,10647 (75%),50,1.1134,3743,169,
170,1795 (12.5%),10,0.2787,633,170,
170,3591 (25%),16,0.4435,1124,170,
170,7182 (50%),29,0.7505,2204,170,
170,10773 (75%),47,1.1704,3509,170,
171,1816 (12.5%),10,0.3078,647,171,
171,3633 (25%),15,0.5190,1128,171,
171,7267 (50%),31,0.8020,2262,171,
171,10901 (75%),49,1.3523,3833,171,
172,1838 (12.5%),10,0.2911,648,172,
172,3676 (25%),16,0.4551,1145,172,
172,7353 (50%),30,0.8068,2284,172,
172,11029 (75%),51,1.1060,4040,172,
173,1859 (12.5%),11,0.3006,691,173,
173,3719 (25%),18,0.4444,1187,173,
173,7439 (50%),29,0.8457,2209,173,
173,11158 (75%),50,1.1647,3939,173,
174,1881 (12.5%),10,0.2894,649,174,
174,3762 (25%),15,0.5317,1132,174,
174,7525 (50%),30,0.7708,2354,174,
174,11288 (75%),49,1.2269,3806,174,
175,1903 (12.5%),11,0.3068,694,175,
175,3806 (25%),17,0.8337,1211,175,
175,7612 (50%),31,0.8085,2360,175,
175,11418 (75%),51,1.1952,4058,175,
176,1925 (12.5%),10,0.2854,678,176,
176,3850 (25%),17,1.7331,1183,176,
176,7700 (50%),30,0.8302,2254,176,
176,11550 (75%),50,1.1594,3997,176,
177,1947 (12.5%),11,0.2952,675,177,
177,3894 (25%),18,0.4826,1256,177,
177,7788 (50%),31,0.8502,2402,177,
177,11682 (75%),49,1.2319,3881,177,
178,1969 (12.5%),11,0.3431,672,178,
178,3938 (25%),17,0.5147,1249,178,
178,7876 (50%),31,0.8197,2409,178,
178,11814 (75%),50,1.2274,4030,178,
179,1991 (12.5%),11,0.3028,718,179,
179,3982 (25%),17,0.4673,1251,179,
179,7965 (50%),32,0.8347,2506,179,
179,11948 (75%),51,1.1985,4161,179,
180,2013 (12.5%),11,1.0846,725,180,
180,4027 (25%),17,1.6248,1209,180,
180,8055 (50%),31,0.8667,2505,180,
180,12082 (75%),51,1.2791,4147,180,
181,2036 (12.5%),10,0.3161,679,181,
181,4072 (25%),18,1.8227,1265,181,
181,8145 (50%),31,0.8600,2451,181,
181,12217 (75%),51,1.2548,4112,181,
182,2058 (12.5%),11,0.3142,760,182,
182,4117 (25%),18,0.5050,1348,182,
182,8235 (50%),31,0.8953,2514,182,
182,12353 (75%),52,1.3425,4272,182,
183,2081 (12.5%),11,1.0521,696,183,
183,4163 (25%),19,0.5074,1310,183,
183,8326 (50%),31,0.8814,2419,183,
183,12489 (75%),51,1.2524,4212,183,
184,2104 (12.5%),11,0.3731,714,184,
184,4209 (25%),18,0.4823,1330,184,
184,8418 (50%),32,0.9041,2572,184,
184,12627 (75%),50,1.3049,4300,184,
185,2127 (12.5%),11,0.3207,779,185,
185,4255 (25%),17,0.5238,1263,185,
185,8510 (50%),32,0.8864,2535,185,
185,12765 (75%),52,1.3182,4385,185,
186,2150 (12.5%),11,0.3271,737,186,
186,4301 (25%),17,1.8516,1257,186,
186,8602 (50%),32,0.9267,2608,186,
186,12903 (75%),52,1.3549,4499,186,
187,2173 (12.5%),11,0.4499,761,187,
187,4347 (25%),17,0.5245,1281,187,
187,8695 (50%),31,0.9007,2569,187,
187,13043 (75%),53,1.3382,4494,187,
188,2197 (12.5%),11,0.3221,755,188,
188,4394 (25%),17,0.5276,1319,188,
188,8789 (50%),33,0.9375,2730,188,
188,13183 (75%),51,1.3478,4466,188,
189,2220 (12.5%),11,1.2095,763,189,
189,4441 (25%),16,0.5326,1374,189,
189,8883 (50%),32,0.8996,2540,189,
189,13324 (75%),53,1.7707,4665,189,
190,2244 (12.5%),11,0.3397,713,190,
190,4488 (25%),18,0.5376,1414,190,
190,8977 (50%),32,0.9279,2604,190,
190,13466 (75%),53,1.3793,4671,190,
191,2268 (12.5%),11,0.3338,805,191,
191,4536 (25%),17,1.9772,1358,191,
191,9072 (50%),32,0.9770,2623,191,
191,13608 (75%),53,1.3330,4585,191,
192,2292 (12.5%),12,0.3963,799,192,
192,4584 (25%),19,2.0096,1473,192,
192,9168 (50%),35,0.9854,2812,192,
192,13752 (75%),52,5.2409,4565,192,
193,2316 (12.5%),11,0.3507,808,193,
193,4632 (25%),18,0.5138,1351,193,
193,9264 (50%),33,0.9825,2778,193,
193,13896 (75%),53,1.4293,4730,193,
194,2340 (12.5%),11,0.3328,812,194,
194,4680 (25%),18,0.5567,1441,194,
194,9360 (50%),34,0.9491,2846,194,
194,14040 (75%),54,1.4327,4872,194,
195,2364 (12.5%),11,0.3438,794,195,
195,4728 (25%),19,0.5403,1457,195,
195,9457 (50%),32,1.0045,2793,195,
195,14186 (75%),55,1.4789,5001,195,
196,2388 (12.5%),11,0.3841,795,196,
196,4777 (25%),18,0.5333,1429,196,
196,9555 (50%),34,0.9563,2856,196,
196,14332 (75%),53,5.5869,4812,196,
197,2413 (12.5%),11,0.3734,827,197,
197,4826 (25%),18,0.5453,1433,197,
197,9653 (50%),32,1.0004,2884,197,
197,14479 (75%),54,1.5841,4839,197,
198,2437 (12.5%),11,0.3803,854,198,
198,4875 (25%),18,2.0275,1431,198,
198,9751 (50%),34,1.0366,2942,198,
198,14627 (75%),55,1.4930,4997,198,
199,2462 (12.5%),11,0.3834,824,199,
199,4925 (25%),18,0.5791,1420,199,
199,9850 (50%),34,1.0350,2973,199,
199,14775 (75%),55,1.5168,4977,199,
200,2487 (12.5%),12,1.3459,865,200,
200,4975 (25%),18,0.5870,1490,200,
200,9950 (50%),34,1.0200,2976,200,
200,14925 (75%),55,5.5463,5034,200,
201,2512 (12.5%),11,1.2383,850,201,
201,5025 (25%),18,0.5572,1534,201,
201,10050 (50%),34,1.0748,2904,201,
201,15075 (75%),56,1.5304,5164,201,
202,2537 (12.5%),12,0.4168,874,202,
202,5075 (25%),20,0.5708,1596,202,
202,10150 (50%),35,3.5751,3049,202,
202,15225 (75%),58,1.5540,5220,202,
203,2562 (12.5%),11,0.3912,862,203,
203,5125 (25%),19,0.5639,1600,203,
203,10251 (50%),33,3.9394,3070,203,
203,15377 (75%),57,1.5590,5404,203,
204,2588 (12.5%),11,0.3817,868,204,
204,5176 (25%),20,0.5989,1635,204,
204,10353 (50%),33,1.0228,2984,204,
204,15529 (75%),55,1.5645,5120,204,
205,2613 (12.5%),12,0.4051,901,205,
205,5227 (25%),18,0.5701,1496,205,
205,10455 (50%),36,1.4710,3072,205,
205,15682 (75%),56,1.6251,5158,205,
206,2639 (12.5%),11,0.3815,857,206,
206,5278 (25%),19,0.6526,1574,206,
206,10557 (50%),35,1.0459,3093,206,
206,15836 (75%),56,1.6448,5343,206,
207,2665 (12.5%),11,1.8287,871,207,
207,5330 (25%),19,0.6208,1605,207,
207,10660 (50%),35,1.1041,3111,207,
207,15990 (75%),54,1.6513,5322,207,
208,2691 (12.5%),12,0.4506,862,208,
208,5382 (25%),18,0.6397,1622,208,
208,10764 (50%),35,1.1268,3248,208,
208,16146 (75%),55,1.6668,5289,208,
209,2717 (12.5%),11,0.4163,876,209,
209,5434 (25%),19,0.7060,1642,209,
209,10868 (50%),36,1.1659,3267,209,
209,16302 (75%),57,1.6091,5539,209,
210,2743 (12.5%),12,0.3657,938,210,
210,5486 (25%),19,0.6104,1632,210,
210,10972 (50%),34,1.0903,3092,210,
210,16458 (75%),58,1.7059,5392,210,
211,2769 (12.5%),12,0.4034,900,211,
211,5538 (25%),20,0.6163,1717,211,
211,11077 (50%),34,1.1086,3199,211,
211,16616 (75%),59,1.6422,5616,211,
212,2795 (12.5%),11,0.4086,907,212,
212,5591 (25%),20,0.6831,1666,212,
212,11183 (50%),34,1.1623,3208,212,
212,16774 (75%),62,1.7378,5868,212,
213,2822 (12.5%),12,0.4146,905,213,
213,5644 (25%),19,0.6807,1620,213,
213,11289 (50%),36,1.1377,3319,213,
213,16933 (75%),58,1.7843,5586,213,
214,2848 (12.5%),13,0.4075,954,214,
214,5697 (25%),20,0.6330,1727,214,
214,11395 (50%),36,1.2090,3367,214,
214,17093 (75%),60,1.6460,5816,214,
215,2875 (12.5%),12,0.3941,946,215,
215,5751 (25%),19,0.6952,1749,215,
215,11502 (50%),36,1.4813,3248,215,
215,17253 (75%),60,1.7769,5707,215,
216,2902 (12.5%),11,0.3898,926,216,
216,5805 (25%),19,0.6359,1744,216,
216,11610 (50%),35,1.2469,3252,216,
216,17415 (75%),59,1.7931,5723,216,
217,2929 (12.5%),13,0.4194,982,217,
217,5859 (25%),19,0.6676,1651,217,
217,11718 (50%),36,1.2639,3299,217,
217,17577 (75%),57,1.7774,5543,217,
218,2956 (12.5%),11,0.4342,962,218,
218,5913 (25%),19,0.7162,1764,218,
218,11826 (50%),36,1.1725,3419,218,
218,17739 (75%),58,1.9002,5812,218,
219,2983 (12.5%),11,0.5095,981,219,
219,5967 (25%),20,0.7303,1700,219,
219,11935 (50%),36,1.2522,3478,219,
219,17903 (75%),60,1.9174,5998,219,
220,3011 (12.5%),12,0.4256,1016,220,
220,6022 (25%),20,0.6540,1729,220,
220,12045 (50%),37,1.2982,3550,220,
220,18067 (75%),59,1.8494,6032,220,
221,3038 (12.5%),12,0.4129,988,221,
221,6077 (25%),19,0.6642,1751,221,
221,12155 (50%),37,4.5884,3487,221,
221,18232 (75%),60,1.7374,6010,221,
222,3066 (12.5%),12,0.4048,1003,222,
222,6132 (25%),19,0.7122,1809,222,
222,12265 (50%),36,1.2102,3538,222,
222,18398 (75%),60,1.8501,6334,222,
223,3094 (12.5%),12,0.4344,965,223,
223,6188 (25%),21,0.7269,1889,223,
223,12376 (50%),36,1.2171,3466,223,
223,18564 (75%),63,1.7791,6369,223,
224,3122 (12.5%),12,0.4354,1010,224,
224,6244 (25%),20,0.6704,1842,224,
224,12488 (50%),36,1.3332,3653,224,
224,18732 (75%),60,1.8246,6146,224,
225,3150 (12.5%),13,0.4516,1100,225,
225,6300 (25%),19,0.7663,1837,225,
225,12600 (50%),37,4.7307,3618,225,
225,18900 (75%),58,2.0635,5979,225,
226,3178 (12.5%),12,0.5145,1028,226,
226,6356 (25%),20,0.7188,1821,226,
226,12712 (50%),37,1.2741,3765,226,
226,19068 (75%),58,1.8954,6167,226,
227,3206 (12.5%),12,0.4478,1012,227,
227,6412 (25%),21,0.7737,1832,227,
227,12825 (50%),38,1.4493,3770,227,
227,19238 (75%),60,1.9331,6079,227,
228,3234 (12.5%),12,0.4475,1040,228,
228,6469 (25%),20,0.7405,1955,228,
228,12939 (50%),37,1.3268,3766,228,
228,19408 (75%),60,2.1243,6413,228,
229,3263 (12.5%),12,0.5517,1054,229,
229,6526 (25%),21,0.7465,1892,229,
229,13053 (50%),38,1.3442,3851,229,
229,19579 (75%),62,2.0940,6355,229,
230,3291 (12.5%),13,1.6546,1111,230,
230,6583 (25%),20,0.7465,1946,230,
230,13167 (50%),38,1.2922,3911,230,
230,19751 (75%),61,1.9176,6310,230,
231,3320 (12.5%),13,0.4849,1131,231,
231,6641 (25%),20,0.7436,1850,231,
231,13282 (50%),37,1.4510,3790,231,
231,19923 (75%),61,2.0452,6636,231,
232,3349 (12.5%),12,0.4561,1093,232,
232,6699 (25%),21,0.7660,1932,232,
232,13398 (50%),38,1.3626,3787,232,
232,20097 (75%),60,2.0690,6369,232,
233,3378 (12.5%),13,0.4489,1133,233,
233,6757 (25%),21,0.7627,2046,233,
233,13514 (50%),37,1.3342,3706,233,
233,20271 (75%),61,2.0583,6497,233,
234,3407 (12.5%),13,1.7145,1138,234,
234,6815 (25%),21,0.7374,1988,234,
234,13630 (50%),38,1.3554,3882,234,
234,20445 (75%),65,2.1698,6691,234,
235,3436 (12.5%),13,0.4783,1143,235,
235,6873 (25%),21,0.8049,1973,235,
235,13747 (50%),37,1.3406,3973,235,
235,20621 (75%),62,1.9865,6656,235,
236,3466 (12.5%),13,0.4699,1142,236,
236,6932 (25%),21,0.8194,1920,236,
236,13865 (50%),39,1.4598,4000,236,
236,20797 (75%),63,2.1782,6628,236,
237,3495 (12.5%),12,0.4997,1133,237,
237,6991 (25%),21,0.7529,2037,237,
237,13983 (50%),40,1.3852,4087,237,
237,20974 (75%),67,2.1505,7135,237,
238,3525 (12.5%),13,0.5102,1116,238,
238,7050 (25%),20,0.8588,1978,238,
238,14101 (50%),39,1.4231,3922,238,
238,21152 (75%),63,2.1036,7003,238,
239,3555 (12.5%),13,0.4838,1105,239,
239,7110 (25%),21,0.8812,1988,239,
239,14220 (50%),37,1.4031,4015,239,
239,21330 (75%),64,2.2140,7073,239,
240,3585 (12.5%),13,0.4938,1150,240,
240,7170 (25%),21,0.8271,2084,240,
240,14340 (50%),38,1.4417,3968,240,
240,21510 (75%),64,2.1200,7171,240,
241,3615 (12.5%),13,0.4644,1188,241,
241,7230 (25%),21,0.8442,2037,241,
241,14460 (50%),37,1.5757,4031,241,
241,21690 (75%),63,7.7658,6939,241,
242,3645 (12.5%),14,1.9929,1213,242,
242,7290 (25%),21,0.7885,2064,242,
242,14580 (50%),39,1.5378,4042,242,
242,21870 (75%),64,2.1026,7059,242,
243,3675 (12.5%),12,1.7931,1113,243,
243,7350 (25%),22,0.8011,2167,243,
243,14701 (50%),39,1.4455,4070,243,
243,22052 (75%),64,2.1055,7061,243,
244,3705 (12.5%),12,0.4864,1180,244,
244,7411 (25%),21,0.9210,2059,244,
244,14823 (50%),41,1.4749,4276,244,
244,22234 (75%),64,2.1260,7059,244,
245,3736 (12.5%),13,0.4969,1175,245,
245,7472 (25%),21,0.8121,2069,245,
245,14945 (50%),40,1.5113,4273,245,
245,22417 (75%),65,2.1389,7304,245,
246,3766 (12.5%),13,0.5038,1158,246,
246,7533 (25%),21,0.8366,2155,246,
246,15067 (50%),40,1.4749,4250,246,
246,22601 (75%),66,2.1849,7493,246,
247,3797 (12.5%),13,0.5229,1254,247,
247,7595 (25%),22,0.8519,2188,247,
247,15190 (50%),39,1.5466,4257,247,
247,22785 (75%),64,2.1632,7275,247,
248,3828 (12.5%),13,0.5226,1232,248,
248,7657 (25%),22,0.8259,2239,248,
248,15314 (50%),40,1.8358,4416,248,
248,22971 (75%),66,2.1946,7329,248,
249,3859 (12.5%),14,0.4964,1258,249,
249,7719 (25%),21,0.8180,2193,249,
249,15438 (50%),40,1.5275,4370,249,
249,23157 (75%),66,2.2633,7478,249,
250,3890 (12.5%),13,0.7653,1222,250,
250,7781 (25%),23,0.9122,2209,250,
250,15562 (50%),40,1.6634,4434,250,
250,23343 (75%),65,2.2943,7467,250,
251,3921 (12.5%),13,0.5066,1256,251,
251,7843 (25%),21,0.8671,2245,251,
251,15687 (50%),39,1.5669,4296,251,
251,23531 (75%),67,2.2371,7727,251,
252,3953 (12.5%),13,0.5133,1246,252,
252,7906 (25%),22,0.8399,2248,252,
252,15813 (50%),40,1.5562,4363,252,
252,23719 (75%),67,2.3725,7823,252,
253,3984 (12.5%),13,0.6783,1265,253,
253,7969 (25%),22,0.8914,2337,253,
253,15939 (50%),41,1.5256,4465,253,
253,23908 (75%),67,2.2686,7582,253,
254,4016 (12.5%),13,2.4073,1326,254,
254,8032 (25%),23,0.8359,2299,254,
254,16065 (50%),41,1.8473,4647,254,
254,24098 (75%),68,2.5878,8001,254,
255,4048 (12.5%),12,0.5174,1305,255,
255,8096 (25%),22,0.8593,2395,255,
255,16192 (50%),40,1.6558,4540,255,
255,24288 (75%),68,2.3541,7930,255,
256,4080 (12.5%),13,1.9674,1261,256,
256,8160 (25%),21,0.9396,2285,256,
256,16320 (50%),41,1.5905,4603,256,
256,24480 (75%),65,2.4407,7655,256,
257,4112 (12.5%),13,0.5689,1252,257,
257,8224 (25%),22,0.8790,2292,257,
257,16448 (50%),41,1.5719,4582,257,
257,24672 (75%),69,2.4471,8082,257,
258,4144 (12.5%),13,0.5634,1287,258,
258,8288 (25%),22,0.8795,2391,258,
258,16576 (50%),41,1.6370,4844,258,
258,24864 (75%),69,2.4598,8006,258,
259,4176 (12.5%),13,0.5577,1370,259,
259,8352 (25%),22,0.9887,2356,259,
259,16705 (50%),41,1.6043,4739,259,
259,25058 (75%),69,2.5096,8220,259,
260,4208 (12.5%),13,2.0547,1314,260,
260,8417 (25%),22,0.8953,2386,260,
260,16835 (50%),42,1.6420,4651,260,
260,25252 (75%),68,2.4073,7894,260,
261,4241 (12.5%),15,0.5925,1383,261,
261,8482 (25%),23,0.9429,2446,261,
261,16965 (50%),40,1.7409,4571,261,
261,25447 (75%),66,9.1941,7960,261,
262,4273 (12.5%),13,0.5858,1381,262,
262,8547 (25%),21,1.0219,2323,262,
262,17095 (50%),42,1.6999,4875,262,
262,25643 (75%),69,2.4893,8313,262,
263,4306 (12.5%),13,0.7453,1366,263,
263,8613 (25%),22,1.0271,2384,263,
263,17226 (50%),43,1.6837,4818,263,
263,25839 (75%),71,3.2709,8503,263,
264,4339 (12.5%),15,0.5879,1386,264,
264,8679 (25%),23,0.9506,2458,264,
264,17358 (50%),41,1.7595,4796,264,
264,26037 (75%),68,2.5220,8091,264,
265,4372 (12.5%),13,0.7739,1382,265,
265,8745 (25%),22,0.9818,2430,265,
265,17490 (50%),42,1.8327,4804,265,
265,26235 (75%),69,2.8923,8229,265,
266,4405 (12.5%),13,0.5851,1346,266,
266,8811 (25%),23,1.0324,2553,266,
266,17622 (50%),42,1.7090,4835,266,
266,26433 (75%),71,2.5806,8754,266,
267,4438 (12.5%),14,0.5934,1408,267,
267,8877 (25%),24,1.0602,2615,267,
267,17755 (50%),44,1.8933,5056,267,
267,26633 (75%),70,2.5480,8497,267,
268,4472 (12.5%),14,2.5251,1410,268,
268,8944 (25%),23,1.0288,2631,268,
268,17889 (50%),44,2.1298,5022,268,
268,26833 (75%),70,2.7945,8612,268,
269,4505 (12.5%),14,0.6423,1448,269,
269,9011 (25%),23,3.7067,2634,269,
269,18023 (50%),41,1.7221,5025,269,
269,27034 (75%),70,10.1006,8720,269,
270,4539 (12.5%),14,0.8833,1402,270,
270,9078 (25%),23,1.0235,2610,270,
270,18157 (50%),43,1.7738,5078,270,
270,27236 (75%),71,2.8820,8575,270,
271,4573 (12.5%),14,0.6089,1406,271,
271,9146 (25%),23,1.0152,2524,271,
271,18292 (50%),45,2.0936,5438,271,
271,27438 (75%),71,2.8756,8655,271,
272,4607 (12.5%),14,0.6843,1453,272,
272,9214 (25%),23,1.0812,2504,272,
272,18428 (50%),43,1.9951,5213,272,
272,27642 (75%),73,2.9101,8953,272,
273,4641 (12.5%),15,0.6087,1560,273,
273,9282 (25%),24,1.0831,2708,273,
273,18564 (50%),42,1.9603,5171,273,
273,27846 (75%),72,2.9297,8894,273,
274,4675 (12.5%),13,0.8891,1413,274,
274,9350 (25%),23,1.0307,2692,274,
274,18700 (50%),44,2.0490,5408,274,
274,28050 (75%),73,2.7468,9176,274,
275,4709 (12.5%),14,0.7179,1436,275,
275,9418 (25%),24,1.0986,2754,275,
275,18837 (50%),45,1.8649,5442,275,
275,28256 (75%),71,10.4229,8760,275,
276,4743 (12.5%),14,0.6592,1427,276,
276,9487 (25%),23,1.0297,2631,276,
276,18975 (50%),42,1.9028,5116,276,
276,28462 (75%),70,2.9111,8972,276,
277,4778 (12.5%),14,2.5856,1527,277,
277,9556 (25%),23,1.1029,2719,277,
277,19113 (50%),42,2.1248,5164,277,
277,28669 (75%),71,2.8918,8982,277,
278,4812 (12.5%),14,0.8180,1493,278,
278,9625 (25%),24,1.0426,2803,278,
278,19251 (50%),44,1.9166,5429,278,
278,28877 (75%),73,2.9373,9102,278,
279,4847 (12.5%),14,0.8307,1508,279,
279,9695 (25%),24,1.0829,2721,279,
279,19390 (50%),44,2.1250,5508,279,
279,29085 (75%),70,2.9857,8998,279,
280,4882 (12.5%),14,0.6428,1512,280,
280,9765 (25%),24,1.1175,2799,280,
280,19530 (50%),42,2.0638,5187,280,
280,29295 (75%),73,3.0224,9552,280,
281,4917 (12.5%),14,0.6864,1553,281,
281,9835 (25%),22,1.0710,2686,281,
281,19670 (50%),44,2.0001,5567,281,
281,29505 (75%),71,2.9538,9262,281,
282,4952 (12.5%),15,0.6492,1527,282,
282,9905 (25%),24,1.2143,2755,282,
282,19810 (50%),45,2.1117,5572,282,
282,29715 (75%),73,2.8763,9319,282,
283,4987 (12.5%),14,0.7076,1480,283,
283,9975 (25%),24,1.2040,2814,283,
283,19951 (50%),44,2.5883,5527,283,
283,29927 (75%),73,3.1800,9350,283,
284,5023 (12.5%),14,0.6578,1612,284,
284,10046 (25%),24,1.1599,2783,284,
284,20093 (50%),45,2.0955,5718,284,
284,30139 (75%),73,3.0806,9610,284,
285,5058 (12.5%),14,0.6838,1514,285,
285,10117 (25%),24,1.1442,2714,285,
285,20235 (50%),43,2.2087,5560,285,
285,30352 (75%),75,3.0692,9720,285,
286,5094 (12.5%),14,0.6621,1512,286,
286,10188 (25%),23,1.1799,2731,286,
286,20377 (50%),45,2.1520,5609,286,
286,30566 (75%),75,2.9886,9947,286,
287,5130 (12.5%),14,0.6692,1565,287,
287,10260 (25%),23,1.1497,2811,287,
287,20520 (50%),45,2.5311,5816,287,
287,30780 (75%),74,3.5458,9678,287,
288,5166 (12.5%),15,0.6731,1602,288,
288,10332 (25%),23,1.1473,2849,288,
288,20664 (50%),45,2.0852,5661,288,
288,30996 (75%),72,3.3448,9786,288,
289,5202 (12.5%),15,0.6921,1630,289,
289,10404 (25%),24,1.1971,2836,289,
289,20808 (50%),43,8.6300,5629,289,
289,31212 (75%),73,3.1359,9652,289,
290,5238 (12.5%),14,0.6857,1579,290,
290,10476 (25%),24,1.2665,2923,290,
290,20952 (50%),44,2.2507,5534,290,
290,31428 (75%),72,3.1755,9607,290,
291,5274 (12.5%),15,2.5887,1574,291,
291,10548 (25%),25,1.1706,2821,291,
291,21097 (50%),46,2.2683,5917,291,
291,31646 (75%),72,3.2682,9827,291,
292,5310 (12.5%),15,0.7002,1676,292,
292,10621 (25%),24,4.1668,2984,292,
292,21243 (50%),44,2.5067,5744,292,
292,31864 (75%),76,3.2864,10215,292,
293,5347 (12.5%),15,1.3521,1643,293,
293,10694 (25%),25,1.2720,3034,293,
293,21389 (50%),43,2.3448,5709,293,
293,32083 (75%),76,3.7110,10128,293,
294,5383 (12.5%),15,0.9689,1612,294,
294,10767 (25%),24,1.3149,3032,294,
294,21535 (50%),45,2.4917,5848,294,
294,32303 (75%),74,4.0896,9857,294,
295,5420 (12.5%),14,0.8638,1652,295,
295,10841 (25%),25,1.2300,3120,295,
295,21682 (50%),47,3.5915,6191,295,
295,32523 (75%),76,3.8738,10315,295,
296,5457 (12.5%),15,0.8135,1636,296,
296,10915 (25%),25,1.3251,3127,296,
296,21830 (50%),44,2.6653,5781,296,
296,32745 (75%),76,3.4652,10145,296,
297,5494 (12.5%),15,1.1673,1690,297,
297,10989 (25%),24,1.4455,3005,297,
297,21978 (50%),45,2.4519,6098,297,
297,32967 (75%),75,3.8021,10240,297,
298,5531 (12.5%),15,0.7989,1657,298,
298,11063 (25%),24,1.3864,2985,298,
298,22126 (50%),47,2.5232,6287,298,
298,33189 (75%),76,13.9179,10313,298,
299,5568 (12.5%),14,0.8268,1683,299,
299,11137 (25%),25,1.9212,3108,299,
299,22275 (50%),45,2.4917,5951,299,
299,33413 (75%),77,3.6490,10254,299,
300,5606 (12.5%),15,0.8194,1660,300,
300,11212 (25%),25,1.2538,3114,300,
300,22425 (50%),47,2.7680,6442,300,
300,33637 (75%),77,3.7310,10904,300,
301,5643 (12.5%),14,3.0820,1681,301,
301,11287 (25%),25,1.3127,3081,301,
301,22575 (50%),48,2.5010,6429,301,
301,33862 (75%),79,6.0825,10542,301,
302,5681 (12.5%),15,0.8140,1732,302,
302,11362 (25%),26,1.3082,3164,302,
302,22725 (50%),46,3.5119,6121,302,
302,34088 (75%),77,3.7351,10665,302,
303,5719 (12.5%),14,0.8230,1754,303,
303,11438 (25%),24,1.3556,3027,303,
303,22876 (50%),46,2.6920,6261,303,
303,34314 (75%),77,3.7520,10792,303,
304,5757 (12.5%),14,0.8159,1722,304,
304,11514 (25%),24,1.6096,3133,304,
304,23028 (50%),46,2.6879,6177,304,
304,34542 (75%),78,4.0741,10613,304,
305,5795 (12.5%),15,0.8297,1739,305,
305,11590 (25%),24,1.3201,3093,305,
305,23180 (50%),46,2.5206,6165,305,
305,34770 (75%),76,3.7835,10716,305,
306,5833 (12.5%),14,1.7726,1760,306,
306,11666 (25%),25,2.1353,3251,306,
306,23332 (50%),46,4.6060,6338,306,
306,34998 (75%),77,3.8128,10909,306,
307,5871 (12.5%),15,0.9334,1821,307,
307,11742 (25%),25,1.4827,3395,307,
307,23485 (50%),48,2.4509,6553,307,
307,35228 (75%),76,3.8683,10705,307,
308,5909 (12.5%),16,0.8574,1809,308,
308,11819 (25%),24,1.5149,3040,308,
308,23639 (50%),45,2.5790,6105,308,
308,35458 (75%),78,3.9942,10818,308,
309,5948 (12.5%),15,0.8585,1752,309,
309,11896 (25%),24,1.3657,3199,309,
309,23793 (50%),46,2.6555,6358,309,
309,35689 (75%),80,3.7990,11402,309,
310,5986 (12.5%),14,3.0227,1856,310,
310,11973 (25%),25,1.5821,3131,310,
310,23947 (50%),49,2.9223,6705,310,
310,35921 (75%),82,4.1931,11197,310,
311,6025 (12.5%),14,3.2768,1769,311,
311,12051 (25%),26,1.4646,3323,311,
311,24102 (50%),46,2.6937,6379,311,
311,36153 (75%),80,6.5725,11185,311,
312,6064 (12.5%),15,1.0676,1842,312,
312,12129 (25%),26,1.4265,3331,312,
312,24258 (50%),50,2.8181,6563,312,
312,36387 (75%),82,3.9465,11676,312,
313,6103 (12.5%),16,0.8039,1896,313,
313,12207 (25%),25,1.9443,3310,313,
313,24414 (50%),47,2.5952,6667,313,
313,36621 (75%),80,3.9628,11782,313,
314,6142 (12.5%),15,0.8423,1854,314,
314,12285 (25%),25,1.4977,3359,314,
314,24570 (50%),49,2.7349,6645,314,
314,36855 (75%),84,4.0152,11875,314,
315,6181 (12.5%),16,3.0997,1939,315,
315,12363 (25%),25,1.5416,3351,315,
315,24727 (50%),48,2.8069,6635,315,
315,37091 (75%),81,14.7960,11786,315,
316,6221 (12.5%),15,1.1168,1910,316,
316,12442 (25%),26,1.4348,3237,316,
316,24885 (50%),47,2.5635,6625,316,
316,37327 (75%),80,4.2598,11732,316,
317,6260 (12.5%),15,0.8729,1871,317,
317,12521 (25%),26,1.4753,3431,317,
317,25043 (50%),49,2.6793,6783,317,
317,37564 (75%),79,5.8689,11679,317,
318,6300 (12.5%),15,0.8786,1878,318,
318,12600 (25%),25,5.6419,3309,318,
318,25201 (50%),48,2.6939,6764,318,
318,37802 (75%),80,4.2799,11783,318,
319,6340 (12.5%),15,0.8667,1951,319,
319,12680 (25%),26,1.5552,3493,319,
319,25360 (50%),49,3.0034,6934,319,
319,38040 (75%),82,4.0236,11899,319,
320,6380 (12.5%),15,0.9010,1872,320,
320,12760 (25%),26,1.4968,3527,320,
320,25520 (50%),49,2.6760,6837,320,
320,38280 (75%),82,4.1611,11925,320,
321,6420 (12.5%),15,0.9303,1916,321,
